stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.32,0,0,0,3.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,13.34,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,78.67,0,0,0,0,0,0,6.74,0,0,0,0,0,0
 14-21,0,1.03,11.29,0,0,0,0,0,0,0,0,0,69.82,0,0,0,0,0,0,0,12.87,0.82,0,0,0,0,0.91,0,4.3,0,0,0,0.82,0
 24-34,0,0.62,4.14,0,0.91,0,0,0,0,0,0,0.67,160.27,0,0,0.62,1.72,0,0,0,27.78,0,0.69,0,0,0.82,0,0,0,3.89,0,0,12.43,0
 36-46,0,0,0,0,1.03,0,0,0.65,3.44,0,0,0,186.51,0,0,0,2.09,0,0,1.27,53.59,0,0,0,0,3.21,0,0,0,8,0,0,2.89,0
 48-58,0,7.1,0,0,24.19,0,0,3.85,12.49,0,4.03,0,227.58,0.83,2.61,10.89,6.52,0,4.5,2.92,50.99,0,0,0,0,5.72,0,0,0,6.42,0,0,2.47,0
 60-70,0,0,0,0,47.46,0,0.59,0,6.07,0,0,0,251.36,0,0,0,12.61,0,0,3.9,55.59,0,0,0,0,0,0,0,0,8.93,0,0.98,17.06,0.73
 72-82,0,3.94,0,0,54.17,2.27,0,0,4.92,0.77,0.5,0,266.88,2.99,0,1.95,28.87,0,0.72,6.31,40.29,0,0.74,2.6,0,3.82,0,0,0,4.63,0,0,12.49,0.67
 84-94,0,0.95,14.88,0,97.14,0,0.97,0,2.39,0,0,0,301.23,0.75,0,2.55,16.07,0,0,5.5,34.25,0,0,0,0,3.95,0,0,0,0,0,0.92,5.63,0
 96-106,0,1.77,3.99,0,110.39,0,0,0,21.28,0.75,0,0,284.07,0.66,0,0,11.07,0.68,7.85,14.54,35.64,0,0,0,0,0,0,0,0,0,0,0,12.95,0.61
108-118,0,0,2.43,0.56,147.89,0,0,0,16.61,3.44,0,0,256.92,0,0,0,18.8,0,0,26.81,54.5,0,0,1.23,0,5.5,0,0,0,2.77,0,0.9,14.51,0
120,0,0,1.22,0,77.99,0,0,0,14.27,0,0,0,477.42,0,2.29,0,17.1,0,0,28.47,103.65,0,0,0,0,0,0,0,0,0,4.63,0,14.05,0
