stage,blastomeres,erythrocytes,eye,iridophores,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,vascular.smooth.muscle
  3-4,12.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,18.26,9.48,0,0,0
 10-12,0,0,0,0,0,0,0,11.75,6.8,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,1.02,0,0
 24-34,0,0,0,0,1.3,1.67,0,2.65,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.39,0
 48-58,0,0,0.55,0,0,0,0,2.02,0,0,0,0
 60-70,0,0,3.75,0,6.74,0,0,1.34,0,0,0,0
 72-82,0,0,0,0.49,0,0,0,2.22,0,0,0,0
 84-94,0,0,0,0,13.29,0,0,0,0,0,0,0
 96-106,0,6.87,0,0,24.52,23.61,0.56,2.3,0,0,0,1.88
108-118,0,0,0,0,1.61,0,0,1.73,0,0,0,0
120,0,0,0,0,1.86,0,0,7.22,0,0,0,0
