stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,205.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.49,7.34,0,0,14.75,0,5.76,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,5.49,0,0,37.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.33,8.87,0,0,46.84,0,0,0,0,0,9.11,0,0,0,0
 14-21,0,0,0,0,5.75,1.78,3.24,0,0,2.43,0,0,66.06,0,0.81,0,0,0,100.86,0,0,62.24,82.56,2.78,0,0.84,5.33,0,12.67,14.74,0.96,0.81,16.66,60.98,0,2.44,0
 24-34,0,0,1.87,2.67,39.48,25.25,5.38,0,0,6.38,0.77,6.16,306.1,0,6.61,1.32,0,1.47,124.24,0,17.68,68.87,113.4,1.47,0.69,1.68,0,23.41,52.32,2.17,0.7,0,0,30.92,0,13.68,0
 36-46,0,0,0.78,0,3.99,0,10.68,4.2,1.26,14.97,0,0,212.74,0,0,0,2.52,0,64.52,1.68,43.51,12.55,48.09,12.66,3.74,0,0,16.32,67.24,0,0,0,0,17.16,0,1.39,0
 48-58,0,0,0.67,0,1.75,0,18.84,0,0.81,6.6,0,0,94.71,0,0,1.45,2.86,0.56,74.44,3.77,51.79,10.02,30.29,0,0,0,0,64.35,39.39,0,0,0,0,16,1.7,0,0
 60-70,0,0,0,0,0,0.64,13.93,0,0,6.87,0,0,20.6,0,1.74,0,0,0,125.32,0.76,32.59,0.62,24.08,0,1.48,0.62,0,75.35,76.09,0,0,0,0,2.4,23.58,3.26,0
 72-82,0,0,1.82,0,1.7,1.07,40.72,1.55,7.68,10.62,3.11,0,16.83,0,1.53,0,0,0,74.31,2.21,123.08,9.26,29.51,0,1.02,0,0,121.46,67.43,0,0,0,0,8.98,4.72,0.62,17.59
 84-94,0,0,0,0,7.37,2.18,8.46,6.75,0,6.78,0,0,24.62,5.29,5.91,0,0,0,52.12,2.67,189.43,1.46,10.91,0.69,0,0,0,101.28,244.38,0,0,0,0,0,7.52,0.59,4.43
 96-106,0,0,0,0,8.64,0,16.49,1.39,0,19.02,3.72,0,11.81,0,9.45,0,0,0,18.42,2.56,161.77,1.68,46.6,0,0,3.59,0,238.58,207.17,0,3.67,0,0,3,15.82,0,20.26
108-118,0,0,0.84,0,7.93,2.2,25.39,9.23,1.22,5.77,1.62,0,2.88,0,6.08,0,0.63,0,35.48,8.85,185.3,0.5,16.97,0.82,3.13,0.43,0,222.08,168.54,0,2.68,0,0,0,0,1.05,7.16
120,0,0,0,0,16.5,7.49,15.86,2.88,0,0,0,0,8.79,0,0,0,0,0,11.54,2.05,201.68,0,45.26,0,0,0,0,133.74,135.07,0,2.12,0,0,2.78,0,0,3.95
