stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0
  5-6,70.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.98,0,0,0,0,0,0,0,0,23.61,0,0,0,4.68,0,0,0,0,0,0
 14-21,0,0,2.69,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0.97,0,0
 24-34,0,0,0,0,0.83,0,1.76,0,4.75,0.64,4.8,0.79,0,0,0,0,0,0,0.8,0,0
 36-46,0,0,0,3.47,0.63,0,18.81,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,4.73,1.12,0,35.43,0,2.43,1.35,1.42,0,0.87,0,0,0.95,0,4.25,0,1.92,0
 60-70,0,0,0,4.75,0,0,61.47,0,0,0,1.6,0,0,0,0,0,1.66,0,0,0,0
 72-82,0,0,0,1.74,0,0,40.97,0,0.62,0.57,5.94,0,0,1.27,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.27,0,52.6,0,3.23,1.38,4.2,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.04,0,0,82.24,0.7,4.95,0,8.96,0.85,0,0,0,0,0,0,0,0,1.26
108-118,0,0,2.5,3.41,0,0.42,129.8,0,1.53,0,5.13,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.43,0,0,53.12,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0
