stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,17.84,145.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,158.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,5.04,0,6.63,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,50.78,0,0,9.4,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.34,5.09,0,10.38,0,0,0,0,4.54,0,0,0
 14-21,0,0,0,0,0,1.89,0,2.06,0,0,0,0,0,0,0,2.75,0,0,11.39,0,0,0,4.9,1.28,0,1.87,4.79,0,0,0
 24-34,0,0,0,0,0,0,0,17.28,0,3.26,0,0,0,0,0,0,0,1.22,15.17,0,3.55,0,0,0,0.69,0.66,4.33,0,0,0
 36-46,0,0,0,0,1.07,0,0,89.17,0,0.84,0,0,0,0,0,4.82,0,0,88.97,0,0,0,0,14.95,0,0,3.07,0,0,0
 48-58,0,0,0,0,5.37,0,0,300.48,1.07,12.96,0,0,0,0,0,1.89,0,0.7,101.36,0,6.94,0,0,0,0,0,7.08,0,0,1.92
 60-70,0,0,0,0,0,0,0,553.54,0,19.02,0,0,0,1.57,0,5.11,0.6,0,90.93,0,0.89,0,4.46,0,0,0,0.61,0,0,0
 72-82,0,0,0,0,0,0,0,414.47,0,15.79,0,0,0,1.33,0,9.78,1.01,0,98.52,0,2.82,0,0,0,0,0,12.9,0,1.22,0.67
 84-94,0,0,1.16,0,0,0,0,309.09,0,7.27,0,0.64,0,0,0,3.18,1.32,2.93,60.91,0,13.99,0,0,0,0.69,0,8.87,0,0,0
 96-106,0,0,0,0,3.17,0,0,189.86,0,8.93,0.67,0.58,2.81,0,1.13,0.96,0,0,46.84,0,11.91,0,0,0,0,0,0,0.75,5.66,0
108-118,0,0,0,0,0,0,2.97,188.03,0,15.17,0,0,0,0,2.49,2.24,0,0.56,60.02,0,12.29,0,1.4,0,0,0,0,0,0,4.45
120,0,0,0,0,0,0,0,262.5,3.14,17.6,0,0,0,0,0,1.25,0,0,87.13,0,16.45,0,0,1.04,0,0,0,0,0,0
