stage,epidermis,erythrocytes,eye,glial,hatching_gland,immune,iridophores,mesenchyme,mural_cell,neural,notochord,spinal_cord
  7-9,0,0,0,0,3.31,0,0,0,0,18.9,5.08,0
 10-12,0,0,0,0,0,0,0,0,0,3.12,0,0
 14-21,0,0,0,1.15,0,0,0,0,0,0,0,0.92
 24-34,0,0,0,0,0,0,0,0,0,1.87,0,2.14
 36-46,0,0,0,1.83,0,5.97,0,0,0,1.14,0,0
 48-58,0,0,0.45,2.46,0,1.56,0,0,0,0.66,0,0
 60-70,0,0,0,0.73,0,6.86,0,0,0.93,6.88,0,3.17
 72-82,0,0,0,0,0,5.12,0,0,0,0.75,0,0
 84-94,0,0,0,2.86,0,12.71,0,0,0,0,0,0
 96-106,0,0.96,0,0,0,17.33,0,1.88,0,0,0,0
108-118,1.82,0,0,0,0,21.41,2.17,0,0,0,0,0
120,0,0,0,0,0,30.55,0,0,0,1.98,0,0
