stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.98,0,0,2.44,0,0,0,0,0,3.22,0,0,57.45,0,0,43.88,0.87,3.35,0.86,0,0,12.61,3.48,0,0,2.46,0,13.46,2.89,10.21,0,0,0,0,3.55
 24-34,0,0,0,0.83,18.63,0,0,313.96,11.84,0,0,0,4.5,2.59,0,0,112.49,0,10.57,54.15,0.62,23.69,9.85,0,10.99,75.96,0,2.19,1.91,6.11,5.1,4.64,20.25,45.42,0,0,5.95,0,1.06
 36-46,0,0,0,1.25,3.16,0,0,513.46,40.14,0,0,1.31,9.4,7.97,0,0,39.56,2.44,1.3,50.81,4.55,37.98,0.67,1.73,22.17,96.32,0.67,0.6,1.08,0,5.56,44.8,13.93,93.4,0,2.54,0,0,0.82
 48-58,0,0,0,0,4.3,0,0,298.32,45.32,0.54,0,10.09,9.08,38.07,0,0.39,8.1,46.13,0,55.64,5.81,14.04,2.97,0,16.94,53.82,0,0,1.59,0,4.25,48.08,0,51.89,0,0,2.38,0,3.88
 60-70,0.64,0,0,0,2.26,0,0,273.94,38.9,0,1.47,1.88,14.63,23.69,0,1.86,14.14,62.58,0,133.12,0,13.82,0,0,18.39,56.84,0.8,0,7.68,0,10.52,18.81,0,41.42,0,0,1.46,0,0
 72-82,0,0,0,0,0,5.92,7.94,165.51,22.06,0.5,0,2.8,11.25,5.6,1.06,0,14.39,73.45,0,178.34,0,16.51,1.76,0,23.21,66.06,0,0.49,0,5.57,7.48,16.68,0,20.88,0.53,0,9.99,1.24,0
 84-94,0,0,0,6.28,3.12,3.82,43.44,209.86,11.32,0,0,0.97,31.29,16.91,0,2.23,39.32,66.86,0,628.06,0,31.41,0,4.19,20.23,59.37,0,0,0,18.05,6.77,22.95,0,13.39,7.21,0,6.4,0,9.81
 96-106,0,0,2.51,2.91,11.77,5.1,21.07,242.57,31.49,0.75,0,7.92,33.79,1.06,11.22,1.41,31.65,40.29,5.81,673.6,0,44.54,0,0,27.4,151.16,0,0,2.42,2.41,5.61,20.28,0,12.68,1.68,0,6.32,1.57,1.88
108-118,0,0,0.84,4.24,6.7,5.73,30.45,220.76,31.16,0.67,0,5.31,29.57,0,0.99,4.46,24.47,50.92,3.04,1160.89,0,34.16,3.4,1.85,20.17,152.04,0.51,0.55,1.41,2.74,5.15,12.61,0,14.68,0,0,8.58,0,0
120,0,0,0,3.17,16.1,1.64,8.97,129.47,44.15,2.05,0,0,34.96,0,0,0,16.4,46.39,0,448.5,0,15.46,0,0,36.08,131.83,0,1.32,0,0,6.66,6.98,0,29.75,0,0,0,0,0
