stage,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,7.64,0,0,0,0,0,0
 14-21,1.41,0,6.79,0,0,2.53,0,0,3.02,7.85,1.72,2.36,3.25,2.2,2.56,0
 24-34,0,0.67,1.01,0,0,0,4.35,0,0.68,4.14,0,0,0,2.69,1.72,0
 36-46,0,0,0,0,0,0,3.99,0,0.57,2.46,0,0,0,0,0,0
 48-58,0,0,0,0.41,0,0,3.97,0,0,4.93,0,0,0,0,2.75,0
 60-70,0,0,0,0.82,0.67,0,14.73,0,0,4.85,0,4.12,0,0,1.25,0.63
 72-82,0,0,0,3.64,1.48,0,14.9,0.81,0,19.84,0,0,0,0,1.74,0
 84-94,0,0,0,2.8,0,0,4.7,0,0,3.4,3.01,0,0,0,0,0
 96-106,0,0,0,1.35,0.67,0,0,0,0,18.58,0,0,0,0,3.37,0
108-118,0,0,0,4.3,1.27,0,2.62,0,0,0,0,0,0,0,0,0
120,0,0,0,8.22,0,0,3.21,0,0,4.81,0,0,0,0,0,1.52
