stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0
 10-12,0,0,4.29,0,0,0,0,0,0,12.84,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.12,0,0,0,0,0.93,0,0,0
 24-34,0,0.62,0,0,0,0,0,0.74,1.19,0,0,0,0,0.73,0
 36-46,0,0,0,0,0,0,1.21,0,1.77,0,0,0,3.49,0,0
 48-58,0,0,1.71,0,0,0,0,0.4,3.84,0,0,0,0,0,0
 60-70,0,0,3.1,0,0,0,1.87,0,10.24,0,0,0,0,0.96,0
 72-82,0,0,7.48,0,0,0,6.94,0,0,0,0,0,0,6.74,0
 84-94,0,0,0,1.19,1.34,0,7.65,0,1.53,0,0,0,0,0.75,0
 96-106,0,0,0,0,0,0,2.54,0,1.57,0,2.65,0,0,0,0
108-118,0,0,0,0,0.56,0.7,2.34,0,5.11,0,1.19,0,0,2.03,0.49
120,0,2.34,0,0,0,0,4.02,0,0,0,1.21,0,0,0,0
