stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4.18,10.75,3,6.37,0,0,4.22,3.11,1.15,0,0,0,0,0,4.85,0,0,3.02,63.28,2.88,0,1.04,1.93,0,0.83,8.77,0,9.16,27.61,0,0,0,0,0
 24-34,0.86,5.41,0,10.54,0,0,2.56,0,0.82,0,0,0,0,0,8.64,0,0,3.23,112.32,0,0.77,0,0,0,4.85,0,2.86,2.62,27.47,0,0,6.75,0,0
 36-46,0,0.84,0,12.39,0,0,5.92,0,0,0,0,0.86,1.09,0,12.9,0,0,1.31,84.87,0,0,1.03,0,0,0.58,0,0,0,21.89,0,0,2.67,0,0
 48-58,0,3.89,0,12.19,0,0.4,23.38,0,0.91,4.12,0.37,0,0,0,17.61,0,0,9.32,40.82,0.39,1.41,0.57,0,0,3.53,0,0,0,17.47,0,0,4.51,0,0
 60-70,0,17.55,0,13.68,0,0,5.92,0,1.45,0,0,0,0,0,6.57,0,0,0.98,72.65,0,0,0,0,0.96,4.47,0,1.12,0,16.84,0,0,5.79,0,0.91
 72-82,0,5.1,0,50.82,0,1.15,11.15,1.5,1.25,0,0.5,0,0,1.08,21.28,0,0,1.18,69.87,0,1.8,0.89,0,0.84,2.88,0,0,0,5.07,0,0,0.98,2.27,2.1
 84-94,0,3.66,0,14.9,5.9,0,2.66,2.24,0,0,0,0,0.73,0,17.62,0,0,0,51.29,0,0,0.67,0,0,1.23,0,0.57,0,6.01,0,0,2.89,0,0
 96-106,0,1.45,10.23,13.31,7.08,0,16.19,1.3,2.64,0.83,0,0,1.72,0,9.26,0,0,2.05,40.27,0,2.91,2.46,0,0,0,0,0,0,7.76,0,1.48,1.76,0,0
108-118,0,2.53,0.79,35.52,0,0,14.34,0.9,0,1.26,0,0.53,1.74,0,20.69,3.01,0.56,0.88,81.47,0,0,5.92,0,0,4.85,0,0.46,0,0.78,1.89,0.53,2.9,2.12,0
120,0,17.42,6.48,17.26,3.1,0,21.61,9.31,1.54,0,1.65,0,1.07,0,10.92,0,2.22,0,88.83,0,0,0,0,0,6.12,0,0,0,0,0,7.08,0,0,0
