stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,55.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,1.04,0,0,0,0,0,1.39,0,0,0,0,0.81,0,0,0,15.95,0,0,0,1.23,0,2.37,3.3,0,0,0
 24-34,0,0,3,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,296.25,10.1,0,0,1.81,0.6,0.59,73.2,0,0,0
 36-46,0,0,0,0,0,5.07,0,0,0,0,0,0,1.46,0,0,0,3.85,0,0,0,731.67,0,0,0,0.65,0,0,173.32,0,0,0
 48-58,0,0,1.85,0,0,31.82,0,0,0,2.46,0,0.37,0,6.72,0,0.86,9.08,0,0,0,895.91,0,0,0,1.79,0,0,92.75,0,0.45,5.62
 60-70,0,0,8.77,0,0,135.83,0,3.05,0.87,18.51,0,0,0,0,0,0,27.97,0,0,1.46,1654.26,0,0,0,6.02,3.02,0,99.66,0,1.26,0
 72-82,0,0.64,8.19,0,0,257.53,0,0,0.94,23.85,0,2.07,0,3.11,0,0,68.57,0,1.43,7.47,1723.9,0,1.09,0,1.7,2.92,0,44.96,4.74,6.09,2.01
 84-94,0,0.86,12.88,0,0,209.97,0,0,0.67,20.9,0,0,0,0,0,0,36.2,0,0,1.17,1207.21,0,0,1.46,9.17,0,0,43.34,0,0,0
 96-106,0,0,12.36,0,0,199.69,0.64,1.21,0.69,28.39,1.16,0,0,2.23,1.81,0,43.13,2.26,0,3.58,1117,0,0,0.79,5.68,4.93,0,29.98,2.03,0,0
108-118,0,0,4.74,0,0,163.65,1.3,0.54,1.46,28.77,0.84,0,0,0,3.36,0,44.24,0.93,0,2.02,915.93,0,1.44,0,11.15,0.42,0,8.66,0,3.3,0
120,0,0,6.52,3.49,2.02,170.66,0,1.58,0,17.42,0,0,0,0,0,0,40.71,0,0,2.96,1662.89,0,0,0,3.35,2.43,0,19.02,0,0,0
