stage,blastomeres,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  5-6,17.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.21,0,0,0,0,0,7.92,0,5.6,0,0
 10-12,0,6.77,0,0,0,0,0,10.61,0,19.39,0,0
 14-21,0,0,0,0,0,0,0,1.31,0,0,2.12,0
 24-34,0,0,0.71,0,0,2.14,0,3.15,0,0,0,0
 36-46,0,0,0,0,0,4.92,0,3.11,1.86,0,0,2.32
 48-58,0,0.62,0,1.1,0,2.85,0,15.7,0,0,0,3.03
 60-70,0,0.7,0,4.26,0,10.85,0,1.32,0,0,0,2.51
 72-82,0,0,0,0,0,0,0,0.91,0.87,0,2.86,0
 84-94,0,3.26,0,0,0,2.42,0,0,0,0,0,0
 96-106,0,5.22,0,0,1.99,2.11,0,4.3,1.07,0,0,0
108-118,0,5.61,0,1.15,0,1.37,0.52,4.51,1.83,0,0,0
120,0,24.12,0,0,0,0,0,0,0,0,0,0
