stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.62,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.18,0.86,0,2.02,0,0,0,0,0,0,0,0,3.76,0,20.21,0,1.27,0.85,0,1.29,2.87,3.52,5.36,0,0,0
 24-34,0,0,1.85,0,1.82,0,0,0,0.61,0,0,0,0,1.9,0,6.2,0,0,0,0,5.05,0,0,0.71,2.98,0,0
 36-46,0,0,0.84,0,0.98,0,0,0,0,0,0,0,0,6.39,0,5.65,0,0,0,0,0.73,0,1.18,0,0,0,0
 48-58,0,0,0,0,0.59,0,0.67,0.66,0,0,0,0,0,3.21,0,7.91,0,0,0,0,0,0,0,1.37,0,0,0
 60-70,0,0,2.82,0,4.16,0,0,0.67,0,3.33,0,1.69,1.57,0.72,14.71,9.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.39,0,0,0,0,1.31,0,0,0,0,0,11.05,0,34.11,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.73,0,0,0,0,0,0,0,0,0,0,3.62,0,5.99,0,0,0,0,2.36,0,0,4.2,0,0,0
 96-106,0,0,0,1.05,5.32,0,0,5.2,0,0,0,0,0,1.58,0,6.8,1.82,0,0,2.4,1.66,0,0,0,0,1.28,0
108-118,0,0,0,0,0.46,0.47,0,0.53,0,0,0.51,0,0,6.97,0.5,12.11,0,0,0,0,1.79,0,0,0,0,0,1.55
120,0,0,0,0,18.76,0,0,1.81,2.35,0,0,0,0,3.74,2.42,58.57,0,0,0,0,0,0,0,0,0,0,0
