stage,axial,blastomeres,endoderm,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord
  3-4,16.36,177.67,0,0,0,0,0,0,0,0,0,0
  5-6,17.55,240.81,0,0,0,0,0,0,0,19.65,0,0
  7-9,0,0,4.95,12.49,0,0,8.11,0,0,126.11,49.57,0
 10-12,0,0,0,4.79,0,0,0,0,0,96.43,32.26,0
 14-21,0,0,0,0,0,0,0,0,0,3.1,0,0
 24-34,0,0,0,0,0,0,0,0.75,0,2.43,0,1.86
 36-46,0,0,0,1.25,0,0.56,0,0,0,0.59,0,0.58
 48-58,0,0,0,0,0,0,0,0.42,0,1.72,0,1.08
 60-70,0,0,0,0.69,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.35,0,0,0.74,0.94,1.26,0,1.43
 84-94,0,0,0,0,0,0,0,0,0,0.88,0,0
 96-106,0,0,0,0,0,0,0,2.08,0,0,0,0
108-118,0,0,0,0.46,0,0,0,1.06,0,1.04,0,0
