stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.86,89.4,24.56,0,27.59,0,0,0,11.19,8.07,0.87,2.21,0.81,3.67,0,0,0,0,40.48,0,0,21.88,367.25,16.05,0.85,4.73,7.33,0,6.13,78.89,6.59,4.62,88.84,116.07,0,0,3.03,0,0
 24-34,0,0,0,18.95,4,0,41.37,0,4.05,2.16,11.51,1.41,0,0,1.46,6.02,3.47,0.86,0,4.27,62.3,4.16,0,19.07,435.3,4.34,10.75,2.83,0,0,15.05,1.04,1.63,0,21.01,111.9,0,0,3.36,0,0.93
 36-46,0,0,0,8.46,0.6,0,99.64,0,18.01,0.78,17.59,0,0,0.65,0,3,1.11,0,0,0,41.51,0,0,8.09,536.95,10.31,5.57,5.46,0,0,33.91,0,2.61,0,0,102.45,0,0,2.22,0,12.39
 48-58,0.39,0,0.43,15.93,0,0,177.5,0,0.81,1.8,50.78,0.39,0.97,1.1,0.8,1.41,0.84,0,12.37,0.6,41.43,2.02,4.74,8.46,373.23,1.03,6.24,6.79,0,0,12.04,0,0,0,0,70.88,0,0,9.93,0,2.6
 60-70,0,0,0,14.11,0,0,343.29,0,4.29,0.62,75.35,5.79,0,0,0,0.59,0,0.67,8.13,0,32.51,1.53,7.6,17.04,370.89,0,6.1,1.79,0,0,5.98,0,0,0,0,57.04,0.81,1.06,15.97,0.81,0
 72-82,0,1.37,0,8.15,2.21,0,143,0.82,1.43,5.36,119.73,4.5,0,0,2.37,3.84,0.54,1.58,0,0,51.62,1.1,4.05,4.77,231.8,0,4.24,2.03,0,0,7.35,0,0.53,0,0,15.36,0.5,0.88,3.25,1.84,5.01
 84-94,0,0,3,8.28,1.38,0,143.78,1.33,1.2,0.6,78.25,3.16,0.71,0,0.77,5.3,0,1.53,0,3.19,53.01,1.67,1.56,5.46,158.12,2.72,11.19,1.2,0,8.69,35.92,0,0.96,0.55,0,15.71,0,0.56,1.7,0.91,2.61
 96-106,0,0,0,12.98,0,0.97,87.27,0,2.52,0,132.46,3.06,0,0.78,0.63,7.81,0,3,0,0,33.9,0.67,1.16,1.4,102.3,0,1.29,0,0,0,27.52,0,0.73,0,0,7.55,0,1.03,2.02,2,0
108-118,0,0.76,1.79,21.36,3.16,0.84,52.87,0.86,6.43,2.04,209.8,1.44,0,0,2.75,13.03,0.51,3.29,0.59,0,46.78,0.53,0,6.97,167.02,0.43,5.69,2.81,0,5.09,17.6,0,0.85,0,0,1.51,2.33,0,8.92,1.07,1.33
120,0,0,2.55,16.13,13.05,0,55.12,0,7.5,6.07,132.24,10.68,0,0,2.34,1.45,2.63,0,0,0,38.03,0,0,18.29,139.11,0,8.38,0,0,0,21.42,0,0,3.05,0,0,4.78,0,0,0,0
