stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.18,1966.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.59,1144.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.63,0,0,0,16.92,0,7.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.4,72.96,0,56.34,0,0,172.29,0,0,0,0,0,42.44,0,0,0,0,0,0,0,0,0,0,1385.49,68.79,0,0,499.9,0,12.38,14.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.42,0,20.51,0,15.52,140.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.3,43.02,0,0,458.78,0,0,0,0,77.74,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,1.85,26.02,9.98,29.37,0,0,0,11.86,0.81,2.92,0,0,3.88,0,0,0,20.21,0,0,14.2,318.67,17.41,0,0,4.55,0,19.01,0,41.36,1.37,0,16.73,91.03,0,0,2.29,0,0
 24-34,0,0,0,0.86,12.8,2.24,64.9,0,0,1.79,10.79,0.84,0,0.75,0.6,1.73,0,0,0.86,28.6,0,2.43,19.16,690.01,2.39,3.31,2.93,0,0,17.76,0,0,0.83,0,1.35,140.85,0,0,13.33,0,4.97
 36-46,0,0,0,0,2.34,6.82,151.38,0,0,0.78,19.51,1.04,0,1.3,0.98,1.57,0.57,0.64,0,44.39,0.95,0.8,11.39,576.6,1.06,11.82,2.52,0,0,13.71,0.81,0,11.08,0.56,0,130.35,0,1.37,1.18,0,0
 48-58,0.77,0,0,0,7.25,2.47,203.95,0,1.52,0.89,16.71,0.39,0,0,6.06,0,0.46,0,0,36.69,0,0.81,7.76,264.66,6.16,2.2,3.66,0,0,3.53,0,0,0,0,0,50.48,0,0,2.6,0,0.97
 60-70,0,0,0,0,4.22,5.57,154.95,0,10.29,0,28.22,2.92,0,0,0,0,0,0,0,45.13,0,1.33,10.23,211.17,3.11,2.54,2.59,0,0,6.28,0,0,3.12,0,0,39.95,0,0,1.71,0.73,0
 72-82,0,0,0,0,5.89,2.49,62.14,0,1.61,3.5,6.22,0.85,0,2.04,0.52,0,0,0.72,0.8,36.1,2.44,2.99,1.78,125.85,2.91,1.37,4.31,0,0,2.51,0,0,0,0,0,17.5,0,1.1,9.29,1.05,0
 84-94,0,0,0.98,0,8.9,7.33,81.87,8.84,0,2.01,18.34,1.69,0,0,0,0,0.74,1.23,0,36.7,0.91,0.85,5.28,86.52,4.14,0.93,0.74,0,0.6,13.59,0,0,0.6,0,0,2.41,0,0,3.12,0,0
 96-106,0,0,0,0,7.87,22.11,29.88,0,1.65,0.85,15.47,2.95,0,1.5,2.8,0.68,0,1.97,0,41.91,1.49,2.12,3.68,81.62,2.03,6.75,1.71,0,0,9.48,0,0,0,0,0,10.09,1.86,1.96,6.5,0.68,0.85
108-118,0,0,0,0,4.84,5.89,45.79,0,0,0.43,15.85,5.4,0,0,3.33,1.7,1.06,1.04,0,30.53,5.21,2.63,3.33,109.41,2.02,1.39,0.49,0,0,23.06,0,0,0.54,0,0,8.88,1.76,0,11.37,2.13,0
120,0,0,0,0,3.95,10.08,39.9,0,2.26,0,60.32,0,0,0,0,2.42,0,0,1.89,34.32,6.27,0,11.65,223.85,5.59,0,0,0,0,23.59,2.3,0,0,0,0,0,0,0,3.11,0,0
