stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,215.37,5434.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.38,0,0,0,0,0,0,0,0,0,0
  5-6,125.91,1074.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,0,23.46,0,10.17,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,0,0,4.61,0,0,0,28.87,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,149.11,0,0,0,26.52,0,0,21.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.4,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.13,0,0,0,45.59,0,0,5.62,0,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,0.87,26.23,1.94,0,5.07,0,0,0,0,1.11,0,0,0,0,0,0,0,1.13,11.3,0,22.05,71.58,1.73,0,0.89,0.9,0,4.83,1.1,12.4,511.18,158.34,10.46,0,0,1.1,0,0.97
 24-34,0,0,0.75,0,23.27,0,0,6.54,33.39,0.71,0,1.84,0.73,0,0,0.69,0.6,0,1.14,0,1.23,9.09,0,35.87,132.35,0,9.52,19.53,0,0,1.54,0,0,227.97,133.25,20.82,0,0,6.36,0,2.11
 36-46,0,0,0,0,3.43,0,0,13.7,57.15,0,0.63,0.87,0,0,0,0.67,0,0,0,0,4.44,13.69,0,29.29,298.51,2.57,21.02,7.59,7.09,0,4.5,0,0,100.52,16.34,21.03,0,0,1.6,0,6.91
 48-58,0,0,0,0,4.45,0,0,11.97,27.31,0,0.83,2.39,0,0,0.45,4.42,11.64,0,2.48,0,7.21,6.51,1.21,25.23,263.1,0,2.03,18.33,0,0,0.59,0,0,62.59,0,18.61,0,0,1.91,0,0.71
 60-70,0,0,0,0,15.62,0,0,6.21,78.57,0.69,2.17,1.96,0,0,0,11.64,0,2.82,6.13,0,0,15.6,0,48.04,305.75,0,2.05,22.02,0,0.97,0.77,0,0,59.75,0,21.68,2.43,0,1.12,0,0
 72-82,0,0,0,0,27.66,7.19,0,42.58,73.52,2.07,1.03,4.53,0,0,0,11.54,0,1.03,12.5,0,0,9.1,2.22,35.53,449.1,0,0.54,51.7,1.13,0,0.89,1.65,0,15.24,0,14.67,6.12,0,3.95,2.06,1.31
 84-94,0,0,4.46,0,27.18,0,0,29.35,94.48,0,0,6.54,2.53,0,1.14,17.07,0,4.41,8.87,0,2.36,20.42,0,36.44,456.57,0,0,109.02,0,0,13.26,0,0,19.76,0,33.92,11.58,0.64,4,0,0
 96-106,0,0,0.81,0,15.18,2.92,0,27.5,131.3,1.87,9.25,6.21,2.07,0,0.88,77.73,0.86,0,27.56,1.52,0,26.99,0,26.58,412.86,0,6.84,110.15,1.2,0,5.21,5.44,0,48.72,0,34.85,5.9,0,5.65,1.28,3.29
108-118,0,0,0,1.33,8.05,0,0,26.95,159.57,1.78,0,12.06,0,0,0,97.41,0,2.51,15.03,0,0.49,19.25,0,66.04,610.63,0,0,79.32,0,0,2.47,0,0,35.94,0,15.71,7.03,0,8.81,0,2.11
120,0,0,0,0,22.32,1.35,2.19,52,158.89,1.34,0,4.32,0,0,0,161,0,10.67,7.48,0,0,19.9,0,45.88,954.84,0,0,88.08,0,0,4.46,0,0,23.58,0,8.48,6.95,0,15.59,0,0
