stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,161.22,4419.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.8,0,0,0,0,0,0
  5-6,107.14,998.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.85,0,0,6.32,0,0,0,0,0,0
  7-9,0,0,6.35,0,0,0,0,0,0,4.3,0,0,0,0,0,0,89.95,0,19.06,0,36.56,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97,0,11.56,0,24.69,10.04,0,0,0,0
 14-21,0,0,0,1.6,0,1.85,0,0,0,0,0,0,0,0.9,0,0.84,14.81,0,2.54,0,3.93,0,0.83,2.16,0,0
 24-34,0,0,0,1.16,0.79,6.21,0,3.44,0,0,0,0,0,3.77,1.09,0.85,38.58,0,0,0,0.86,0,0,4.37,1.1,0
 36-46,0,0,0,0.6,0,0.58,0,0,0,0,0,0,0,0.59,0,0.6,16.75,0,0,0,0.78,0,0,0,0,0
 48-58,0,0,0,0,1.93,0.91,0.55,0,0,0,0,0.41,0,1.21,0,0,5.5,0,0,0,0,0,0,2.33,0,0
 60-70,0,0,0,0,0,0,0,1.76,0,0,0,0,0,5.09,0,0,3.81,0,0,0,0,0,0,5.24,0,0
 72-82,0,0,0,0.87,1.05,4.47,0,2.44,2.98,0,0,0,0,3.3,0,0,6.12,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0.7,0,1.94,6.42,0,0,0,0,2.33,0,0,2.43,0,0,0,0,0,0,0,1.18,8.08
 96-106,0,0,0,1.2,3.88,4.98,0,0,5.84,0,0,0,0,0.89,0,0.76,3.63,2,0,0,2.65,0,0,0,0,0
108-118,0,0,0,0.42,1.05,4,0,5.73,2.99,0,0.51,0,0.63,1.84,0,0,9.65,0,0,0,0.63,0,0,0,1.2,0
120,0,0,0,0,8.61,0,0,0,6.11,0,0,0,0,1.96,0,0,5.23,0,0,0,1.53,0,0,11.34,0,1.64
