stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,11.28,98.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.91,0,0,9.99,0,0,0,0,0,0,0,0,0,19.84,0,0,0,5.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.94,0,0,0,4.71,0,0,0,0,0,80.11,17.52,0,0,27.28,0,0,0,0,0,0,0
 14-21,0,0,1.03,3.39,0.82,0,0,0,0,0,0,0,0,4.68,2.28,11.05,0,0,0,0,0.91,0,4.92,3.49,0,0,0
 24-34,0,0,0,2.44,0,1.35,0,0,0,0,0.69,0,0.86,2.03,2.02,13.11,0.73,0,0.66,0,0,0,1.86,0.93,0,0,0
 36-46,0,0,0.76,2.98,0,5.72,0.82,0.63,0,0,0.69,0,5.32,5.24,1.82,18.31,1.84,0,0,0,0,0,0,0.74,0,0,0
 48-58,0,0,0.53,0,0,9.84,0,2.17,0,0,0,0,4.64,4.63,1.05,17.14,0,2.47,0,0,0,0.61,0,4.51,0,0,1.06
 60-70,0,0,0,2.68,0,13.55,0.76,3.41,0,0,3.28,0,0,14.16,0,25.32,0,0,0,0,0,0,0,1.62,0,0,0
 72-82,0,0,0,1.56,0,14.44,0,5.14,0,0,1.75,0,0.96,13.84,0.51,14.46,2.41,0,0,0,0,0,0,3.49,0,1.39,0
 84-94,0,0,0,0,0,4.53,0,2.42,1.04,0,1,0.75,0.74,3.71,0,16.6,0,0,0,0,0,0,0,2,1.41,0,0
 96-106,0,0,0,0,0,8.67,0,0,0,0,0,0,0,12.16,0,11.81,0,0,2.06,0,0,0,0,1.89,0.93,0,0.62
108-118,0,0,0,2.31,0,1.15,0,2.6,0,0,0,0.72,4.95,23.07,0.64,11.36,0,0,7.89,0,0,0,0,0,3.41,0,0
120,0,0,0,3.26,0,25.53,0,5.36,0,0,3.22,0,0,35,0,11.64,0,0,0,0,0,0,0,0,26.43,0,0
