stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.15,21.8,3.07,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,1.24,0,1.85,0,0,0,0
 24-34,0,0,0,1.1,0,0,0,0,0,0,1.67,0,7.63,0,1.51,0,0,0,0,0,1.65,0
 36-46,0,0,0,0,0.64,2.95,0,0,0,0,0.9,0,10.69,0,10.82,0,0,0,0.77,0,0,0
 48-58,0,0,0,0,0,0,1.76,0,0,0,1.5,0,8.57,0,2.88,0,0,0,1.15,0,0,0
 60-70,0,0,0,1.12,0,0,0,0,0,0,1.19,0,3.35,0,0.64,0,0,0,1.13,0,0,0
 72-82,0,0,0,3.43,0,0,0,0,0,0,0,0,4.32,0,7.27,0,0,0,2.02,0,0,0
 84-94,0,0,0,7.38,0,0,2.02,0,0,0,4.98,2.49,8.38,0,8.47,0,0,0,0,0,0,0
 96-106,0,2.65,4.86,0,0,0,0,0,0,0,1.66,0,8.37,0,14.65,0,0,0,0,0,0,0
108-118,0,0,0,0.46,0,0,0,0.63,0,0.44,1.86,0,7.84,0,3.11,0,0,0,0,0,0,0.84
120,0,3.07,0,0,0,0,5.84,0,1.12,0,15.92,0,0,0,19.37,0,1.73,0,0,1.37,0,0
