stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,31.56,311.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.5,413.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,6.6,0,0,0,0,0
  7-9,17.34,25.64,25.32,0,0,0,0,0,0,8.27,0,0,0,0,0,258.61,11.5,0,0,113.66,0,0,0,0,0,0
 10-12,0,0,19.17,0,0,0,0,0,0,6.08,0,0,0,0,0,98.41,0,0,0,38.17,9.49,0,0,0,5.09,0
 14-21,0,0,0,2.23,1.23,0,0,0,0,0,0,0,0.92,0,2.04,9.41,0,0,0,0,0,1.22,1.37,1.25,0,1.9
 24-34,0,0,0,0,0,0.71,0.71,0,0,0,0,0,0.64,0,0,5.46,0,0,0,0,1.43,0,0,0,0.86,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.66,0,0,0,0,0,0,0
 48-58,0,0,0,0.63,0,0.6,0,0,0,0,0,0,0.4,0.73,0,2.32,0,0,0,0,0.52,0,0,0,0.85,0
 60-70,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.59,0,1.08,0,0,0,0.6,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,1.12,0,0,0,0,0
 96-106,0,0,0,1.43,0,0,0,0,0.68,0,0.6,1.02,0,0,0,0,0,1.99,0.96,0,2.09,0,0,0,0,0
108-118,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.51,0,1.02,0,0,0.63,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,1.12,0,0,0
