stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.8,1136.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.32,0,0,0,0,0,0,0
  5-6,50.85,409.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61,0,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.36,0,0,0,7.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,25.74,1.21,3.24,0,0,2.3,0,0,0,6.79,0,0,3.71,7.74,0,0,3.68,51.91,0,0,0,0,0,2.51,4.93,2.66,10.12,0,7.08,0,0
 24-34,0,0,1.54,8.4,0,19.58,1.73,0,0,0.73,0,10.17,3.31,0,0,0,20.45,0,0,1.88,158.43,0,2.5,0.74,0,0,4.9,0,3.98,28.24,0,3.71,0,2.54
 36-46,0,0,0,10.71,2,19.59,0,0,1.53,0,0,0.94,0.61,0,0,0,12.05,0,0,1.19,69.43,0,0.75,1.44,0,0,12.45,0,0,17.96,0,3.87,0,0
 48-58,0,0,0,2.89,0,24.83,0,0,4.89,0,0,4.21,0.38,0,0,0,6.5,0.97,0,0.89,75.11,0,0,0.7,0,0,0.49,0,0,8.93,0,1.65,0,0
 60-70,0,0,0,4.43,0,39.23,1.61,0,1.95,0,0,0,0,0,0.59,1.49,16.36,0,0,2.98,35.52,0,1.31,0.62,0,0,0,0,0,2.73,0,0,0,0
 72-82,0,0,0,2.87,0.57,36.7,0,0,6.13,0.84,0,0.75,0,0,0,0,14.75,0,1.59,1.66,15.53,0,4.61,0,0,1.12,5.71,0,0,1.53,0,1.91,0,0
 84-94,0,0,0,4.08,1.31,29.16,1.11,1.43,6.44,0,0,11.12,4.08,0,0,0,13.03,0,0.66,4.09,28.24,0,1.66,1.35,0,3.51,4.68,0,0,0,0.83,1.07,0,0.74
 96-106,0,0,0,5.4,0,12.87,0,1.05,3.87,1.59,0,4.86,0,0,2.71,2.93,14.62,0,0,0.76,13.19,0,0,0,0,0,11.91,0,0,0,0,0.62,0,0
108-118,0,0,0,6.92,4.35,28.04,0,0.48,4.89,2.18,2.29,3.23,0.45,0.57,0,2.99,33.02,0,0.46,2.14,20.77,0,2.38,1.64,0,0,4.33,0,0,0,1.92,7.03,0,1.07
120,0,0,0,5.75,0,16.32,0,0,5.66,0,0,5.79,1.4,0,0,0,17.95,0,0,1.03,20.93,1.25,1.11,7.51,0,0,0,0,0,0,0,16.87,6.57,0
