stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,344.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0
  5-6,7.12,224.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.04,5.83,0,17.01,0,0,41.66,0,0,0,3.3,0,0,0,0,0,0,0,0,203.8,0,0,0,84.79,0,15.41,0,0,0,0,0,0,0
 10-12,0,0,0,36.36,0,5.46,49.21,0,0,0,0,0,0,0,0,0,0,0,0,367.24,30.39,0,0,233.42,0,0,0,20.22,0,0,0,0,0
 14-21,0,0,0,1.01,7.75,1.99,0.92,0,0,2.67,0,0,0,0,0,0,2.63,0,5.83,61.56,2.04,0,1.24,2.91,0,0,5.26,2.44,2.1,35.45,0,0,0
 24-34,0,0,0.8,0.79,0,0,8.64,0,0.72,1.86,0,0,0,0,0,0.61,9.53,0,4.7,132.97,0.75,3.21,0.69,0,0.73,0,0,0,0,41.39,2.22,0,0
 36-46,0,0,0.85,0,0.92,0,35.35,0,1.17,7.82,0,1.2,0,0,0.86,0,12.69,0,2.53,112.81,0,1.45,0,0,6.33,0,0,0,0,33.76,8.86,0,0
 48-58,0,0,0,0,0.41,0,41.71,2.82,0,5.26,0,0,0,0,0,0,11.44,0,1.05,86.05,0,2.01,1.01,0,3.54,0,0,0.37,0,14.55,0,0,0
 60-70,0,0,0,0,0.56,0,33.19,0,0.83,6.1,0,0.79,0,0,0,0,2.69,0,0,33.17,0,1.1,0,0,0.7,0,0,0,0,4.5,0,0,0
 72-82,0,0,0,0,0,4.17,29.05,0,0,2.1,0,0.5,0,0,0,0,15.03,0,1.14,41.21,0,2.21,0,0,0,0,0,0.57,0,1.08,0,0,4.1
 84-94,0,0,0,0,2.86,0.59,15.29,0,0,3.47,0,0,0,0,0,0,4.81,5.74,1.48,29.94,0.6,0,1.86,0,17.15,0,0,0,0,3.75,0,0.63,0
 96-106,0,0,2.08,0,0.56,9.82,10.42,0,0,5.07,0,0,0,0,0,0,1.56,0,2.62,23.29,0,9.07,0,0,1.18,0,0,0,0,0,0,0,0
108-118,0,0,0,0,9.33,0.97,8.67,0,1.03,1.92,0,0,1.07,0.44,0,0,5.55,1.5,0.53,23.32,0.71,3.91,0,0,3.36,0,0,0,0,0,1.23,0,1.86
120,0,0,0,0,0,7.19,2.77,0,0,0,0,0,0,0,0,0,10.08,0,1.57,15.13,0,0,0,0,1.36,0,0,0,0,0,0,3.21,0
