stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.34,1170.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.76,183.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,80.48,0,0,0,3.75,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0,0,146.48,0,0,0,22.84,0,8.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.37,0,38.18,0,6.65,0,26.83,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,232.05,3.08,0,0,65.21,0,0,0,3.9,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,21.44,26.6,10.84,0,3.29,0,0,0,1.84,1.23,0,40.57,0,5.53,0,0,0,0,45.89,0,0,9.25,152.13,1.58,0,1.65,0,3.11,0,4.11,35.44,0.87,0.8,50.16,0,0,1.7,0,0
 24-34,0,0,0.6,8.02,27.71,1.02,0,24.31,0,2.05,1.24,2.07,4.76,0,22.46,0.71,43.13,0,1.94,0,5.93,65.62,1.98,0,7.27,400.93,13.69,16.54,1.64,0,4.92,0,0,106.65,1.76,0,164.38,0,0,6.43,0,0.91
 36-46,0,0,0,0,25.26,0,0,67.9,0,7.37,0.87,26.32,0.59,0,18.58,0.94,44.1,0,0.72,5.17,40.01,38.71,0,1.42,5.68,543.06,8.77,12.07,2.89,0,4.7,0.98,0,115.55,0.57,0,104.67,0,0,3.33,0,12.56
 48-58,0,0,0,0,24.21,0.43,0,180.68,1.93,8.56,1.46,18.74,1.74,0.37,3.06,0.62,31.3,7.88,0,3.33,32.97,31.39,0.53,0,5.51,745.67,27.94,2.61,6.31,0,11.46,0,0,32.18,0,0,134.64,0,0.64,8.58,0,23.95
 60-70,0,0,0,0,41.25,0,0,303.71,0,9.72,0.86,50.82,2.24,0,10.29,0.7,13.5,12.18,1.81,1.92,13.12,54.32,0,2.56,1.27,918.05,35.73,5.15,1.81,0,17.91,0,0,35.33,0,0,198.89,0,1.57,4.44,3.01,19.11
 72-82,0,0,0.93,0,19.56,3.66,0,381.51,0.59,2.61,7.17,44.58,7.5,0,1.33,6.97,24.47,0.49,3.35,10.81,10.39,82.51,0.61,12.31,3.09,928.05,10.26,2.9,21.6,0,7.51,0,0,12.02,0,0,188.58,4.75,2.54,11.43,6.47,0
 84-94,0,0,0.98,0,48.73,0.86,0,364.23,0.98,5.2,2.07,35.46,11.02,0,0.8,5.29,30.98,14.45,4.2,9.28,41.58,89.2,0.62,0.83,0,744.21,23.83,2.7,13.46,0,16.72,0,0,54.76,1.51,0,103.23,14.85,0.69,3.4,19.22,7.3
 96-106,0,0,5.97,0,62.14,4.49,0,373.92,0,2.35,7.82,43.19,8.12,0,0,3.7,30.66,2.42,13.71,6.14,13.54,81.66,0,2.16,8.5,601.05,13.83,9.62,16.33,0,17.82,0.93,0,29.61,1.44,0,52.51,11.11,1.82,12.03,14.37,8.32
108-118,0,0,0,0,80.2,6.45,1.79,627.38,0.64,11.4,13.71,35.09,9.18,0,1.46,3.72,91.19,8.21,4.17,17.36,28.72,85.05,0,7.1,2.41,848.1,29.45,7.71,28.16,0,18.28,0.42,0,35.8,1.21,0,61.31,19.54,5.35,3.97,8.06,18.86
120,0,0,2.94,1.28,85.88,0,0,405.25,6.86,16.55,11.82,102.75,17.91,0,3.96,1.01,61.66,6.14,2.88,20,12.86,117.64,0,5.74,4.28,1654.76,127.72,31.49,16.03,0,6.09,0,0,60.63,1.6,0,77.78,13.91,0,1.91,3.04,1.64
