stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.94,325.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,219.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.35,3.42,0,0,0,28.65,0,0,0,0,0,19.94,0,0,0,0,0,0,0,0,143.61,7.21,0,0,30.29,0,13.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.18,0,0,0,0,0,0,0,0,0,72.19,0,0,0,0,0,0,0,0,336.29,0,0,0,62.82,0,20.09,6.03,0,10.07,0,0,0,0,0,0,0
 14-21,0,0,0,53.45,2.11,0,3.66,0,0,0,0,0,0,0,2.19,0,0,2.53,0,0,0.91,33.07,0,0,0,0,0,31.2,0.99,6.53,0,3.05,3.72,0,0,0,0,0
 24-34,0,0,0,27.15,0,0,7.64,0,8.15,3.1,1.24,0,0,0,0,3.26,0,9.7,0,0,5.85,32.68,10.05,7.17,0,0,0,98.96,0,0,0,5.99,8.5,0,0,2.02,0,0
 36-46,0,0,0,31.21,0,0,24.28,0,15.49,1,1.51,0,0,0,0,2.61,0,9.16,0,0,1.94,40.63,4.2,5.38,0.58,0,0,132.76,0,0,0,0,8.69,0,0,2.45,0,0
 48-58,0,0,0,31.59,0,0,28.19,0,8.46,0.87,5.51,0,0,0,0,0.82,4.05,15.35,0.55,1.23,0.96,44.99,2.19,0.42,0.81,0,0,99.93,0,0,0,0,2.46,0,0,2.55,0,0
 60-70,0,0,0,75.69,0,0,19.82,0,17.08,0,4.64,0.89,0,0,1.4,2.14,0,25.08,0,6.11,0,44.22,0,2.32,0,0,0,88.7,0,0,0,0,5.37,0,0,0.79,0,0
 72-82,0,0,0,66.92,1.2,0,35.85,0,2.09,0.68,7.82,3.48,0,0,1.56,7.07,1.45,20.36,0.61,1.19,1.74,27.34,5.28,3.22,1.67,0,0,63.5,0,0,0,0,4.66,2.01,0,6.62,0,6.12
 84-94,0,0,0,86.91,0,0,6.45,0.64,16.57,0.81,8.23,9.6,0,0,6.65,4.45,0,22.78,0.76,1.2,3,32.64,5.34,15.58,3.61,0,0,226.66,0,0,0,0,0,8.34,2.08,2.73,0,0.73
 96-106,0,0,0,135.47,8.38,0,10.41,0,14.83,0.99,3.87,28.13,0,0,1.4,5.78,0,27.19,1.37,0.59,0,23.55,5.59,8.91,1.72,0,5.85,160.02,0,0,0,0,1.35,13.22,0,10.69,3.15,20.98
108-118,0,0,0,125.44,0,0.92,10.01,0,27.41,0.77,5.97,5.53,0,3.38,4.65,8.01,0,36.39,5.07,2.75,5.49,54.73,0.92,11.21,2.79,0,1.95,261.13,0,0,1.32,0,0.61,20.3,1.41,11.57,3.07,31.01
120,0,0,0,142.6,0,0,33.87,0,18.26,0,0,0,0,0,4.18,4.26,0,12.87,6.43,0,1.11,65.75,23.69,6.13,0,0,7.06,141.7,0,0,0,0,0,14.37,0,1.96,0,11.89
