stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,30.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.76,0,0,0,0,25.65,15.24,0,0,0,0,0,0
 10-12,0,0,9.64,0,0,0,0,32.85,19.88,0,0,11.13,0,0,0
 14-21,0,2.06,0.91,0,0,3.3,0.88,1.69,0,0,2.8,0,0,1.77,0
 24-34,0,0,0,0,6.93,0,0,6.48,0,0,0,0,0,0,0
 36-46,0,0,4.63,0,0,0.76,0,3.84,0,0,0,0,0.89,0,0
 48-58,0,0,2.57,0,0,9.43,0,2.99,0,0,0,0,2.57,0,0
 60-70,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0
 72-82,0,0,0,0.89,0,0,0,1,0,0,0,0,3.18,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
 96-106,0,0,0,1.97,0,0,0,2.78,0,2.11,0,0.82,0,0,0
108-118,0,0,0,3.55,0,0.56,0,1.02,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0
