stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,15.57,118.63,40.19,0,149.14,0,0,0,14.35,3.72,3.21,0,0,1.78,0,0,1.36,0,78.9,0,0,84.27,911.12,25.25,1.54,7.69,33.99,15.56,146.99,6.27,0,209.75,242.35,0,0,1.22,0,0
 24-34,0,5.25,22.86,3.07,0,123.76,0,0,1.39,3.49,0.91,4.49,1.24,0,1.25,4.23,0,0.96,0,109.48,0.87,2.4,44.07,656.88,10.33,0,6.1,0,18.99,0,0,0,12.14,99.34,0,0,13.04,0,2.18
 36-46,0,0,4.85,0.57,0,76.33,7.86,0,5.12,5.45,4.45,0,0,0,0.67,3.33,0.77,3.49,0,99.96,2.15,2.17,42.97,341.15,8.39,2.61,2.15,0,6.96,0,0,0,1.34,40.95,0,0,6.17,0,0
 48-58,0,0.7,13.47,7.17,0,79.64,2,4.68,15.8,13.9,2.01,0,0,0,0,0,0,21.69,0,116.49,0.45,2.27,30.35,156.52,2.01,0,0.43,0,1.96,0,0,0,0,11.99,0,0,1.76,0.48,1.87
 60-70,0,0,14.66,0,0,35.05,0,1.72,10.37,6.68,12.64,0,0,0,3.74,0,1.12,15.72,0.86,75.07,0,0,15.35,134.23,14.6,0.96,0.72,0,2.72,0,0,0,0,2.35,0,0,15.64,0,0
 72-82,0,0,11.6,6.47,0,22.01,1.29,3.35,3.44,17.14,5.46,0,0,0,2.21,5.22,0,7.98,0,125.72,0,1.08,16.57,73.96,3.17,0,3.47,0,5.27,0,1.77,0,0,0,0,0,0,0,0
 84-94,0,0,5.54,12.03,11.6,42.08,0,0,6.4,9.09,9.61,0,0,0,1.69,2.05,0,20.59,0,98.49,0,2.04,17.35,59.81,0,0,4.34,0,3.1,0,3.17,0,0,10.38,0.6,0,4.2,0,0
 96-106,0,0,4.41,19.76,2.41,23.77,0.9,0,1.72,17.77,6.62,0,2.11,1.19,0,0,0,15.44,1.15,97.43,0.71,0,9.74,52.46,4.8,2.23,0.86,0,8.45,0,0,0.6,0,1.86,0,0.93,1.74,0.83,2.52
108-118,0,0,5.16,11.31,16.17,33.38,0,0,3.12,14.31,4.33,0,0,0,2.2,4.15,1.84,49.17,0,157.04,0,2.15,23.15,73.75,2.04,1.52,0,0,2.04,0,0,0,0,1.58,0,0,6.29,0,0
120,1.19,0,6.18,10.71,9.54,23.56,0,1.23,1.47,14,8.15,0,0,8.97,1.76,1.11,2.12,41,0,219.96,0,0,34.45,67.87,3.95,0,2.59,0,7.07,0,0,2.84,0,0,0,0,0,0,1.16
