stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.17,1.84,13.91,0.83,0,4.65,0,0,0,0,0,3.41,0,0,0.81,0.87,0,0,0,5.46,0,0,2.29,28.62,0,2.4,0,0,35.39,1.63,0.85,0.87,5.41,14.45,0,0,1.06,0,2.45
 24-34,1.34,0.79,18.67,0,0,14.82,0,1.31,2.38,2.85,0.66,0,0,8.17,29.59,0,1.37,0.6,2.9,32.62,4.9,0,12.73,310.82,1.55,10.36,9.67,0,126.65,0,25.02,1.44,3.3,43.76,0,0,21.2,0,1.7
 36-46,0,0.6,23.49,0,0,62.6,2.9,6.34,4.95,22.46,3.4,0,0.79,0.65,14.07,0,0.99,0,17.2,54.58,3.72,0.57,16.27,475.44,0,24.2,9.97,0,108.89,0,5.3,7.94,0.83,99.04,0,0,6.17,0,23.1
 48-58,0.44,0,14.12,0,0,179.25,4.47,7.65,3.39,72.67,2.94,0,0.52,8.79,8.8,0.83,2.65,5.14,17.13,73.36,7.61,9.14,12.62,739.5,0,10.36,12.47,3.8,63.58,0,7.91,12.85,0,149.24,0,0,12.02,0,20.75
 60-70,0,0,8.97,3.71,0,337.74,5.84,8.63,7.43,146.93,19.97,0,0,5.94,16.01,3.53,5.84,15.38,0,102.37,1.43,8.73,8.53,874.19,0,12.92,24.1,0,44.51,0,17.74,19.44,0,116.47,0,0,15.62,0,19.5
 72-82,3.28,0,25.96,1.11,0.72,386.6,1.76,8.45,7.06,145.29,63.33,0,0,23.69,14.79,2.78,4,34.39,0,135.33,1.52,1.77,21.59,619.46,0,25.21,9.66,0,31.66,0,28.94,4.92,0,76.36,0.53,5.71,24.62,7.96,6.55
 84-94,12.33,0,33.05,6.53,4.53,321.24,5.68,1.81,2.81,133.9,111.27,0,1.78,18.36,23.56,7.23,4.54,77.7,7.05,130.57,8.05,10.42,13.88,442.72,0.76,20.77,17.41,0.57,83.94,0,52.49,16.35,0,58.32,3.16,0.71,16.15,6.29,12.15
 96-106,4.96,1.77,29.92,41.22,5.08,236.48,4.17,0.56,19.91,148.25,173.18,0,3.19,15.02,25.22,6.07,13.14,100.53,8.52,85.8,5,3.45,20.71,420.8,0,20.07,21.27,2.76,54.75,0,45.87,19.73,0,27.92,11.43,1.23,11.34,3.19,5.35
108-118,2.07,0,40.93,3.79,10.18,215.02,4.97,6.31,0,132.48,133.63,0,3.5,13.3,30.38,10.43,4.58,101.45,6.88,91.97,1.54,3.96,16.3,516.69,0.41,13.6,17.68,1.07,53.87,0,45.59,22.54,0,21.26,4.61,4.62,15.63,5.65,11.08
120,0,0,31.63,18.06,3.31,154.2,1.95,2.23,1.88,142.86,72.73,0,0,11.75,22.43,0,1.54,38.85,0,34.78,15.36,0,1.43,552.12,12.23,10.56,16.07,20.38,50.23,0,23.62,0,0,24.4,1.53,0,3.85,8.01,4.77
