stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,745.85,7750.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046.13,0,0,0,0,0,0,0,0,0
  5-6,4157.3,17180.35,169.26,0,0,0,0,0,0,0,97.77,0,0,0,0,0,0,0,0,0,0,1017.25,200.07,0,0,305.18,0,1351.04,0,0,0,0,0,0,0,0,0
  7-9,306.85,95.09,2536.43,0,0,112.64,0,0,0,0,262.6,0,0,0,0,0,0,0,0,0,0,3995.61,366.15,0,0,2208.75,0,507.62,47.05,0,0,0,0,0,0,0,0
 10-12,7.59,20.43,224.83,0,0,13.51,0,0,0,0,9.53,0,0,0,0,9.05,0,0,0,0,0,762.16,15.55,0,0,253.69,0,167.94,3.78,0,10.07,0,0,0,0,0,0
 14-21,0,0,1.23,74.63,0,7.67,0,0,0,0,0,0,2.06,0,0,116.24,0,33.04,7.38,0,18.5,91.96,3.93,0,0,1.79,0,2035.04,0,3.36,0,8.94,33.03,0,0,0,1.22
 24-34,0,0,0.62,4.16,2.21,4.21,1.04,0,0.98,0,0,0.64,0,0,0,187.1,1.77,13.57,6.77,0,2.93,43.31,0.97,0,0,0,0,563.18,0,0,0,1.29,17.74,0,1.24,0,1.35
 36-46,0,0,0,11.54,0,0.68,0,0.62,1.02,0,0,0,0,0,0,41.36,0,6.49,0,0,1.14,36.34,1.14,0,0,0,0,175.75,0,0,0,0,9.13,0,0,0,0
 48-58,0,0,0,0.46,0,10.23,0,0,1.94,0.58,0.37,0,0,0,0.43,36.78,0,4.63,0.46,0.51,6.43,12.72,0,0,0,0,0,7.7,0,0,0,0,13.69,0,0,0,0
 60-70,0,0,0,1.75,0,37.81,0,0,4.02,0,0,0,0,0,0,28.17,0,5.18,0,0,0,38.49,2.42,0,0,0,0,1.16,0,0,0,0,1.58,0,1.83,0,0
 72-82,0,0,0,0,0,28.54,0,0,10.29,0.58,0.5,0,0,0,0,41.57,0,3.26,0,0,0,30.47,0,0.7,0,0,1.1,2.2,0,0,0,0,3.23,0,0.49,3.81,0
 84-94,0,0,0,5.18,0,25.6,0,0,6.41,0.69,0.71,0.59,0,0,1.99,23.25,0,7.8,0,0,0,5.43,0,0,0,0,0,1.58,0,0,0,0,0,0,0.76,0,0
 96-106,0,0,0,2.47,0,11.49,0,0,17.51,2.92,0,0.78,0.81,0,1.25,12.29,0,13.92,0,0,0,17.94,0,0,0,0,0,3.2,0,0,0,0,0,0,2.12,2.84,2.94
108-118,0,0,0,2.14,0,1.13,0,0,20.52,1.27,0,0,0.67,0,0,16.5,0,10.74,4.11,0,0,12.84,0,0.86,0.55,0,0,4.63,0,0,0,0,0,3.73,1.07,0,0
120,0,0,0,3.42,1.31,0,0,0,14.8,0,0,0,0,2.22,0,11.53,0,8.44,0,0,0,9.75,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0
