stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.36,102.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.87,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.86,0,0,0,58.54,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.76,12.22,0,0,91.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,1.94,0.82,0,5.11,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,3.69,37.17,0,1.07,0,0.9,0,0,0,1.76,0,0,0,17.16,0,0,0,0,0
 24-34,0,0,0,0,6.31,0,0,4.95,0,0,0,2.85,0.85,0,0,0,0,0.63,1.1,0,9.94,2.35,0,2.03,186.48,0.66,1.42,2.1,0,0,2.17,0,0,0,0,0.75,51.47,0,0,0.77,0,0
 36-46,0,0,0,0,0,0,0,26.75,0,0,0,11.45,0,0,0,0,0.57,0,0,0,13.9,0,0,0.73,364.53,0.66,0.72,0,0,0,0.74,0,0,0,0,0,66.88,0,0,2.68,0,0
 48-58,0,0,0,0.43,22.83,0,0,71.06,0,0,0,8.41,0,0,3.44,0,0,0.46,0,0,11.7,0.63,0,0.48,263.43,0,0.48,0.9,0,0.53,4,0,0,0,0,0,60.09,0,0,2.6,0,2.14
 60-70,0,0,0,0,9.99,3.14,0,210.9,0,0.86,0,5.6,0,0,0,0,0,0,0,0,19.65,1.1,0,4.26,353.29,0,0,0,0,0,22.84,0,0,0,2.72,0,52.16,0,0.88,4.12,0,5
 72-82,0,0,0,0,4.37,4.24,0,173.39,0,0,0,10.13,0.53,0.66,3.42,0.55,0,0.51,0,0,35.02,2.88,1.07,2.22,249.12,0.52,0,0.95,0,0,12.43,0,0,0,0,0,41.28,0.82,0.94,3.63,0,2.14
 84-94,0,0,1.11,0,9.41,9.8,0,134.7,0,4.28,2.18,19.01,2.21,0,4.47,1.83,0,0.78,0,0,28.43,1.03,0,4.14,207.61,0,0,0,0,0,74.36,0,0,0,0,0,44.21,8.75,0,2.51,0.67,0
 96-106,0,0,0,0,2.6,3.98,0,221.17,0.58,4,0,12.09,6.48,0,2.35,0.63,0,0,0,0,25.07,0,0,0.79,168.93,0,1.1,4.85,0,0,47.46,0,0,0,0,0,17.71,1.68,0,2.53,1.71,0.86
108-118,0,0,0,0,10.88,1.78,0.55,147.58,0,3.75,0.68,16.77,2.66,0,2.64,0.68,0.78,0.56,1.66,0.82,38.15,0,0,2.22,295.87,0.69,3.61,3.73,0,0,40.85,0,0,3.05,0,0,11.64,0,1.53,3.3,1.4,1.03
120,0,0,0,0,38.28,1.42,0,151.24,0,4.92,0,17.5,2.28,0,3.58,0,0,0,0,3.89,9.21,0,0,0,291.07,2.06,12.85,0,0,0,26.18,0,0,0,0,0,4.03,0,0,0,8.36,4.45
