stage,endoderm,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.85
 48-58,0,0,4.03,0,0,0,0,0.49,0,0.52,2.13,0,0,0,0
 60-70,0,0,0,1.1,0,0,0,0,0,0.99,0.88,0,0,0,0
 72-82,0,0,0,5.15,0,2.2,0,0,0,0,2.87,0,0.6,0.93,0
 84-94,0,3.43,0,1.2,0,0.73,0,0,0.82,0,1.3,0,0.68,0,0
 96-106,0,0,0,0,0,0,0,1.27,0,0,0,0,1.18,0,0
108-118,0.74,2.6,0,13.54,0.53,0,0,3.38,0,0,1.86,0,2.67,0,0
120,0,2.16,0,9.63,0,0,1.06,0,0,0,11.17,1.45,11.25,0,0
