stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.14,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,0,0,0,20.42,0,0,0,0,0
 24-34,0.6,1.97,0,3.05,0,0,0,0,0,0.63,0,0,0.6,0,0,228.1,0,15.84,0,0,0,62.62,0,0,0,0,0
 36-46,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,606.71,0,15.48,4.08,0,0,152.45,0,0,0,0,0
 48-58,0,6.28,0,47.69,2.5,0,0,0,0,0,0,0,1.97,1.03,0,855.29,6.45,2.55,0,0,0.44,124.16,0,0,9.26,0,6.37
 60-70,0,0,0,257.65,22.07,0,1.7,0,0,0,0,0,9.84,0,0.64,1349.68,0,4.81,0,0,0,150.69,0,0,0,0,0
 72-82,0,0.74,0.55,267.75,18.26,0,0,2.57,0,0,0,0,4.28,0,2.07,1095.02,0,12.85,0,1.77,0,155.02,0.97,0,0,0,0
 84-94,0,6.7,0,233.99,5.99,0.57,0,0,0.67,0,0,0,1.8,2.23,0,853.59,0.61,4.74,1.22,1.01,4.87,100.24,0.9,0,0,0,0
 96-106,0,0.88,0,216.67,9.59,1.09,0,0,0,0,5.88,0,2.19,0,3.54,641.5,0,7.35,0,0,0,42.95,0,0,0.81,0,0
108-118,0,3.36,0,217.65,14.75,0.88,0,0,0.42,0,0,4.19,6.4,3.6,0,776.25,0,2.83,0,0,0,38.85,1.13,0,0,1.11,0
120,0,2.49,0,151.93,28.05,0,0,0,0,0,0,0,6.17,0,0,980.53,0,11.55,0,0,0,38.01,0,10.18,0,0,0
