stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03,0,0,0,10.64,0,108.97,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.89,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.49,3.71,0,0,41.92,0,62.6,17.41,0,8.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,53.62,10.52,0,5.11,0,0,0,1.23,2.79,0,0,0,19.66,0,0,0,0,2.29,0.99,0,3.02,720.56,1.38,8.51,0,0,0,564.87,3.06,1.19,0.91,0,2.07,322.49,0,0,7.16,0,0
 24-34,0,2.01,0,58.31,2.36,0,35.25,0,6.9,1.21,20.59,0.79,0,1.36,0.65,51.33,0.7,1.2,0.68,1.02,45.03,12.42,0,19.18,2749.92,1.2,237.89,3.26,0,0,1118.5,1.29,0,1.96,0.69,4.04,1089.72,0,0,50.15,0,8.44
 36-46,0,2.26,0,66.85,0,0,215.19,0,26.22,4,96.79,0.59,0,0,2.76,33.48,0,1.49,0.57,3.24,54.1,31.24,0,7.45,5057.2,0,256.99,6.81,0,0,1541.62,2.83,0,0,0,0,1943.43,0,1.04,12.04,0,25.12
 48-58,0,1.1,0,63.43,6.72,0,913.28,0,29.71,5.05,344.51,1.34,0,0.85,2.96,10.27,1.38,1.4,9.04,5.23,107.15,11.62,3.32,19.42,6933.56,2.02,172.11,2.43,0,0.56,1059.22,0,0,0.37,0,0,1850.29,0,0,28.8,0,61.72
 60-70,0,0,0,75.72,5.13,0,1706.93,1,21.92,1.52,552.23,1.47,0,0.95,3.95,17.52,13.26,2.3,0,1.05,130.43,6.19,4.26,5.94,10981.8,3.78,140.67,1.47,0,9.05,868.66,0.85,0,0,1.01,0,1982.2,4.64,0,9.14,0.81,48.51
 72-82,0,3.9,0,134.28,80.76,0,2179.49,0,27.88,12.89,572.53,15.14,0.89,4.49,21.49,21.8,17.26,8.44,14.97,19.94,269.33,7.49,19.41,13.27,13033.22,0,216.72,20.89,0,0.87,593.46,0.56,0,1.28,0,0,1647.7,25.4,2.09,38,4.2,121.09
 84-94,0,10.34,0,260.65,73.61,0,1871.13,0.68,50.43,2.04,583.81,24.32,1.43,0,8.24,43.3,7.81,6.57,6.01,25.38,176.77,24.87,20.78,11.99,9285.71,3.84,183.22,35.95,0,3.31,1649.59,0,0,0.74,0,0,970.61,64.26,2.85,47.03,14.04,56.99
 96-106,0,6.55,0,253.41,183.93,2.1,1419.22,3.81,50.63,6.45,511.37,33.3,0,2.06,23.44,56.63,4.3,10.13,21.88,2.12,196.19,12.48,20.42,12,7733.91,5.54,313.58,48.39,0,3.28,1232.65,2.49,0,3.83,0,0,542.98,123.87,3.71,48.58,8.42,87.19
108-118,0,2.87,0,285.57,85,22.03,1306.09,1.3,65.99,1.03,504.18,26.25,0,0,39.68,59.71,2.75,12.45,14.23,11.88,224.6,17.69,24.85,7.02,11995.31,0.67,183.12,41.72,0,15.61,934.74,0.63,0,5.23,1.11,0,557.83,112.01,1.91,35.12,10.54,42.75
120,0,3.01,0,325.6,85.04,0,1595.97,0,64.49,19.12,628.51,33.35,0,0,32.63,27.88,1.59,11.43,22.33,14.37,213.63,23.97,10.58,4.69,16943.64,2.06,154.17,43.74,0,0,651.93,0,0,0,0,0,759.13,38.35,0,30.33,4.63,7.34
