stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.74,276.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.02,0,0,0,0,0,0,0,0,0
  5-6,8.77,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.45,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.95,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,20.39,0,0,15.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,36.46,2.75,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,1.67,0,0,1.36,31.15,0,0,2.22,0,16.37,0,0.86,2.35,12.85,0,0,2.17,0,0
 24-34,0,0,0,29.95,0,0,2.51,7.04,0,0.84,0,0,0,0,0,0,0,0,0,10.57,0,0,2.25,134.17,0,4.79,0,0,13.85,0,0,0,38.71,0,0,0,0,3.29
 36-46,0,0,0,24.68,0.6,0,14.97,18.01,0.6,19.28,0,0,0,0,0,0,0,0,4.51,9.09,0,0,1.82,244.42,1.86,0,0,0,14.69,0.78,0,0,65.73,0,0,1.47,0,1.43
 48-58,0,0,0,18.8,0,0,95.58,17.42,1.52,31.96,0,0,0.86,0,4.84,0,0.4,0,10.17,12.79,0,0,1.02,303.12,0,3.26,0,0,16.21,0,0,0,57.71,0,0.61,0,0,0.54
 60-70,0,0,0,30.63,0,0,601.15,24.3,0,17.67,0.65,0,0,0,0,2.66,1.67,0,0.59,12,2.18,3.13,0.79,509.87,0,9.28,0,0,14.13,0,0,0,64.36,0,0,0,0,0
 72-82,0,0,0,11.71,5.77,0,801.5,7.16,1.67,24.42,1.21,0.52,0.66,3.53,0,0,0.63,0,9.86,7.23,0,7.54,1.09,642.1,0,11.68,0,2.03,11.68,0,0,0,32.45,1.58,0,0,2.57,4.53
 84-94,0,0,0,24.66,0,0,575.09,18.12,0.81,13.56,0,0,2.06,7.7,0,0,9.79,3.68,0,26.85,0,5.64,1.13,452.83,1.06,7.88,0,1.75,7.08,0,0,0,35.39,0,0.64,0.57,5.85,0
 96-106,0,0,0,18.73,9.17,0,740.25,10.29,0,24.1,0.88,0,0.87,0.56,0,2.23,8.1,0,0,25.83,0,7.58,2.7,468.9,0,12.63,0,3.31,12.56,0,0,0,8.26,0,0,0.88,0.72,0.91
108-118,0,0,0,43.52,1.98,0.55,767.37,22.41,2.47,25.39,1.07,0,0,1.68,0.48,0.85,6.48,0,7.12,24.95,0,5.33,0.99,511.25,0,15.51,0,2.56,5.77,0,0,0,6.87,0,0,1.22,0,4.31
120,0,0,0,35.04,0,0,844.88,11.61,0,87.22,0,0,0,0,0,1.91,14.92,6.84,11.42,27.64,0,0,1.9,897.01,0,45.22,0,0,1,0,0,0,0,0,0,0,2.27,0
