stage,epidermis,erythrocytes,eye,glial,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,4.52,0,0,0,0
 14-21,2.48,0,2.67,0,0.98,0,0,0,0,0,0,0,12,0,0,0,0,3.03,0
 24-34,0,0,1.09,0,0,0,0,0,0,0,0,0.82,18.73,2.24,0,0.92,1.58,7.4,0
 36-46,0,0,3.25,1.59,0,0,0,0,0,1.98,0,0,15.51,0,0,0,0,2.89,0
 48-58,0,0,12.98,1.36,0,0,0,0,0,2.35,0,0,22.39,0,0,0,0,0.59,0
 60-70,0,0,39.54,10.38,0,0,0,0,0,1.69,0,0,50.54,1.62,0,0,0,9.11,0
 72-82,1.16,0.65,9.11,0.73,0,0,0.7,0,0,6.12,0,0,11.31,0,0,0,0,2.18,0
 84-94,0,1.25,4.3,0,0,0,0,0,0,1.69,0,0,12.88,0,0,0,0,0,0
 96-106,0,0,9.92,3.85,0,2.53,0,0,0,1.84,0,1.24,27.56,0,0,7.27,0,0,0
108-118,0,6.58,11.22,1.35,0,0,0,0,0.81,5.61,0,2.54,20.11,0,0,0,0,1.46,0.49
120,0,0,0,0,0,0,0,2.23,0,0,1.46,3.92,30.54,0,0,4.62,0,0,0
