stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.56,0,0,0,0,0,0
  5-6,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.51,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0,0,0,4.36,0,22.6,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,0,0,0,0,0,14.74,0,0,0,0,0,0
 14-21,0,2.64,0,0,0.82,0,0,1.91,1.08,0,0,0,0,4.46,0,0,0.85,30.84,0,0,0,1.87,0,18,0,5.47,7.93,0,0,0
 24-34,0,3.19,0,0,6.84,0.8,0,3.14,0,0,0,0,0,2.68,0.63,0,0.86,99,0.7,0,2.11,0,0,3.74,2.17,0.79,25.97,0,0.74,0
 36-46,0,10.26,0,0,9.76,0,0.96,4.74,0,0,0,0,0,3.3,0,0,1.1,109.94,0,0,0,0,0,2.72,0,0,22.66,0,0,0
 48-58,0,0,0,0,22.54,0,0,10.33,0.38,0,0,3.92,0,7.52,0,0,0.66,90.49,0,0,7.77,0,0,0,0,0,14.46,0,0,0
 60-70,0,1.93,0,0,40.71,3.5,1.04,12.61,0,0,0,0,1.03,11.04,0,0,0.6,55.21,0,0,0,0,0,0,0,0,10.64,0,0,0
 72-82,0,0,0,0,41.96,0,0,5.53,1.13,0,0,0,2.29,6.89,0,0.88,0,28.73,0,0,1.86,0,0,2.01,0,0,13.1,4.51,0,0
 84-94,0,0,0,0,21.04,0,0,2.01,0,1.05,0,0,0.73,9.56,0,0,0.66,62.89,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.15,3.57,0,17.96,0,0,5.77,0,0.8,0.66,0,0,12.14,0,2.28,0,22.75,0,1.92,0,0,2.4,0.8,0,0,0,0,0.67,0
108-118,0,0.88,0,0,16.83,0.94,0,1.33,0,2.55,0,0,0,9.14,0,2.89,1.15,33.11,0,1.07,1.01,0,0,0,0,0,0,0,0,3.24
120,0,0,0,1.71,12.12,0,0,6.95,0,11.96,0,0,0,12.61,0,0,0,32.01,0,0,1.28,0,0,0,0,0,0,0,0,0
