stage,eye,glial,mesenchyme,neural,spinal.cord
 24-34,0,2.57,0,1.19,0
 36-46,0,0,0,6.44,0
 48-58,1.89,3.41,0,0,2.42
 60-70,0,0,0,4.68,0.88
 96-106,0,0,1.22,0,0
