stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  5-6,10.81,54.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.99,0,0,0,0,0,0,0,0,0,34.73,6.25,0,8.52,0,0,0,0
 10-12,0,0,46.29,0,0,0,0,0,13.54,0,0,117.9,0,0,38.66,0,4.43,5.78,0
 14-21,0,0,0,3.44,0,1,0,0,0,0,0.83,1.23,0,0,0,2.76,0,0,0
 24-34,0,0,0,1.19,0,1.14,0,0.74,0,0,0.9,0.85,0,0,0,0.72,0,0,0
 36-46,0,0,0,0,0.61,0,0,0,0,0,0,4.73,0,0,0,0,0,0,1.2
 48-58,0,0,0,0.93,7.07,0,0,0,0,0,0,8.93,0,0.5,0,0,0,0,0.94
 60-70,0,0,0,0,2.67,0,0,0.89,0,0,1.39,0.79,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.13,0,1.47,2.41,0,0,3.08,6.33,0,0,0,0,0,0,3.55
 84-94,0,0,0,0,9.62,0.62,0,2,0,2.59,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,7.5,0,0,0,7.97,0,0,0,3.95,0,0,0
108-118,0,0,0,0,0,0,0,12.72,0,0,2.11,5.8,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.26,0,0,2.7,7.02,0,0,0,0,0,0,0
