stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,2.1,0,0,0,0
 24-34,0,0,0,0,0,5.39,0,0,0,0,0,0,0.72,0,0.97,0,12.53,0,0,1.11,0.64,0,1.2,0,0
 36-46,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,6.61,0.64,40.29,0,0,3.58,0.9,0,0,0,0
 48-58,0,0,0,0,0,9.52,0,0,4.57,0,0,0,0,0,4.61,0,14.71,0,0,6.21,2.53,0,0,0,0
 60-70,0,0,0,0,0,1.21,0,0,1.86,0.72,0,0,0,0,21.54,4.34,14.6,0,0,0,1.93,0,0,0,0
 72-82,0,0,0,1.93,0,0.97,0,0.89,7.15,0,0.82,0.58,0.64,0,34.32,0,34.81,0,1.73,1.95,0,0,0,0,0
 84-94,0,0,0,6.31,0,9.73,3.81,0,5.96,0,0,3.41,0,0,22.66,0,8.23,0,1.2,0,0,0,0,1.26,0
 96-106,0,0,0,2.35,0,0,0,0,10.41,0,0,3.63,0.8,0,14.34,2.05,5.51,3.47,0,0,0,0.75,0,1.26,3.81
108-118,0,0,1.56,2.04,5.2,3.78,0,0,25.98,2.54,0,4.59,0,0,35.14,0.88,33.65,0.42,4,3.82,6.14,0,0.87,2.5,0
120,0,0,0,0,0,0,0,0,5.42,0,0,7.51,1.06,5.54,28.46,0,9.56,0,0,3.22,0,0,0,0,0
