stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.72,902.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0
  5-6,56.96,416.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.18,0,0,0,0,16.12,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,131.76,11.14,0,0,25.87,0,0,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.19,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.46,42.4,21.87,0,0,0,0,0,0,2.18,0,11.75,0,0,0,0,0,2.1,28.64,0,0,23.68,36.81,1.46,0,1.88,0,0,2.42,0,5.82,1.94,13.97,6.49,0,0,13,0,0
 24-34,0,0,0,13.69,1.94,0,0.98,0,0.68,0,0,0,0,5.17,0,0,0,0,0,0.69,21.31,0,1.79,6.6,30.79,0,0,0,0,0,3.13,0,0,0,1.4,4.34,0,0,31.94,0,1.93
 36-46,0,0,0,6.4,1.7,0,3.05,0,3.8,0,7.2,0,0,3.41,0.57,0,0,0,7.69,0,25.96,0,1.26,2.59,55.33,1.04,1.65,0.6,0,0,0,0,0,0,0,11.84,0,0.85,21.44,0,0
 48-58,0,0,0,0.99,6.99,0,8.42,0,1.26,0.76,6.34,0,0,0,0.84,0,0,0,0,0,21.29,0,4.28,1.23,25.31,0,0,0,0,0,0,0,0,0,0,5.99,0,0,22.76,0,0
 60-70,0,0,0,2.4,1.34,0,4.62,0.65,0,0,6.88,0.83,0,9.34,0.65,0,0.82,0,0,0,50.64,0,0.65,9.51,43.17,0,1.12,2.82,0,0,0,0,0,0,0,0,0,4.02,6.5,0.83,0
 72-82,0,0,0,3.25,25.27,0,6.52,0,0,0,10.51,0,0,1.62,8,0,0,0.92,0,0,38.15,0,2.3,4.26,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0.57,30.96,2.94,0.5
 84-94,0,0,1,11.87,29.19,0.6,14.27,0,2.57,0,7.98,0,0,4.88,8.89,0.6,0,1.56,0,0,35.22,0,10.51,4.04,17.76,0,0,0,0,1.2,0,0,0,0,0,7.49,0.66,1.98,30.09,0.77,1.67
 96-106,0,0,0,13.9,29.7,0,1.75,0,0,1.12,1.86,1.52,0,1.64,12.33,1.87,2.59,2.3,0,0,30.01,0,2.17,0,35.71,0,3.47,0,0,3.19,1.7,0,0,0,0,1.89,0,0.78,39.21,6.95,0
108-118,0,0,0,14.87,24.2,0.48,15.99,0,4.97,8.66,11.29,0.44,0,11.58,4.1,0,3.96,3.99,0,2.47,63.68,0.94,0,0,21.47,1.55,2.43,0,0,3.62,0,0,0,0.48,0,0,0,2.05,25.37,2.83,0
120,0,0,0,10.4,64.5,0,0,0,0,0,1.91,2.52,0,0,6.77,0,1.11,0,3.42,0,37.21,0,0,0,5.58,0,1.11,5.36,0,0,0,0,0,0,0,0,0,0,19.96,0,0
