stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,59.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0,0,0,0,0,0,0
 14-21,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0.92,0,0
 24-34,0,0,0,1.29,0,0,0,0,0,0,2.31,0,1.25,2.02,0.95,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.22,0,0.91,4.95,0,0,0,0.78,3.89,0,1.3
 48-58,0,0,0,0,0,0,0,0,0.5,0,0.61,0,0,1.28,0,0,0,0,0,0,0.62
 60-70,0,0,0,0,0,2.26,0,0,0,0,0,0,0,1.74,0,0,0,0,0,1.84,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.41,1.64,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.58,0,2,0,0,0,0,1.84,0,0.71
 96-106,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.79,0,0,0,2.5,0,0,2.1,1.2,0,0,2.46,0,0,1.89,0,0,0,0
120,0,0,0,0,1.31,0,0,13.26,0,0,0,0,0,0,0,0,10.21,0,0,0,0
