stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,39.29,2100.11,0,0,0,0,0,0,0,101.5,0,0,0
  5-6,53.36,431.32,0,0,0,0,8.55,0,0,8.08,0,0,0
  7-9,48.84,34.8,74.85,0,146.75,40.23,734.31,20.03,293.1,0,0,0,0
 10-12,0,41.47,72.01,4.44,248.4,44.34,1695.39,54.27,325.37,0,61.88,5.05,10.41
