stage,epidermis,eye,glial,immune,mesenchyme,neural,otic,periderm,vasculature
 24-34,0,0,0,1.04,0,0,0,0,0
 36-46,0,1.05,0,2.23,0,0,0,0,0
 48-58,0,0,0.64,0.4,0,0.81,0,0,0
 60-70,0,0,0,14.06,0,0,0,1.32,0
 72-82,0,0,2.89,8.11,0,10.96,1.09,0,0
 84-94,0.59,0.95,0.84,20.02,0,2.11,0,0,0
 96-106,0,6.26,8.27,22.99,1.45,0.77,2.22,0,0.85
108-118,0,0,0.99,27.59,0,0,0,0,0
120,0,0,0,26.22,2.89,2.02,0,0,0
