stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,1.72,0,0,5.71,0,0,0,2.65,1.03,0,0,0,0,0,0,0,4.55,0,0,1.78,58.82,0,3.28,0,0.94,0,0,0.89,0.85,2.03,2.68,24.53,0,0,1.45,0,0
 24-34,0,1.26,0,1.68,0,0,25.64,0,0.85,0,4.07,0,1.35,0,0,0,1.26,0,0,8.43,0,0,5.97,155.2,1.23,0.82,3.84,0,0,1.06,0,1.75,0.76,4.07,65.1,0,0,3.59,0,1.55
 36-46,0,0,0,3.77,0,0,81.02,6.9,0,0,3.53,0,8.77,4.26,0,0,0,0,0,12.63,0,0.8,2.37,370.06,0.96,0,0,0,0,5.31,0,0,1.04,0.69,142.18,0,0,7.41,0,0
 48-58,0,0,0,9.3,0,0,507.9,8.4,5.81,0.43,45.65,0,4.17,0,0,0,0,2.22,8.64,23.63,0,0.6,5.47,572.52,0,2.2,0,0,0,3.56,0,0,1.46,0,112.5,0,0,0,0,6.79
 60-70,0,0,0,9.57,0,0,2078.3,0.89,0,0,53.17,0,8.36,0,0.59,0,0,2.25,0,42.77,3.18,0,2.75,799.48,0.62,7.24,0,0,0,3.53,0,1.95,0,0,82.49,0,0,0.7,0,0
 72-82,0,2.12,0,0.52,8.67,0,1624.1,0.5,1.19,4.39,108.16,3.14,7.31,3.75,0,0,0,4.09,0,66.15,0,3.86,1.63,785.86,0.66,10.04,5.5,0,3.54,1.03,0,2.46,0,0,75.27,0.82,0,3.08,1.08,16.32
 84-94,0,4.57,0,19.66,1.42,1.39,1238.78,8.88,0,6.55,80.13,7.41,5.84,1.26,0.83,2.45,0,1.81,0,30.67,0,4.01,2.29,630.27,0,10.17,1.22,0,11.11,10.17,0,0,0.66,0,57.52,0,1.23,2.43,4.43,0
 96-106,0,0,0,9.16,2.94,0,781.82,10.06,1.24,0,77.57,1.17,9.89,3.41,0,0,0,11.48,0,33.09,0,3.62,3.27,387.6,0,3.62,0,0,1.66,3.83,0,0.57,0,0,62.2,3.32,1.15,1.54,1.36,19.16
108-118,0,0.41,0,11.08,1.42,0,767.78,0,0,0,94.94,0.43,6.12,0.63,0,0,0,0.97,0,13.38,0,15.88,4.26,549.66,0.46,3.2,4.84,0,2.81,12.7,0,0.48,0.52,0,21.94,0,0.88,3.88,0,1.42
120,0,0,0,52.19,8.16,0,864.71,21.63,7.89,14.81,74.08,0,10.37,18.18,0,0,0,18.38,0,30.63,0,16.4,5.35,971.12,6.11,19.78,0,0,9.14,1.86,0,0,0,0,76.63,1.81,1.56,4.37,0,0
