stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,402.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,0,249.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,17.32,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.47,6.13,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.16,0,0,0,23.02,0,0,0,0,12.31,0,0,0,0,0,0
 14-21,0,0,1.7,0.97,0,6.26,0,0,0,0,0.99,0,0,0,0,0,0,7.3,0,0,8.78,31.4,0,0,0,0,0,0,0,2.41,1.38,1.68,3.27,0,0,0,0
 24-34,0,0,2.71,0,0,4.62,0,0,1.82,1.55,1.26,0,0,0,0,0,0,68.17,0,0,33.9,40.94,0.64,0,1.28,0,0,0,0,0,2.99,0.62,9.76,0,2.27,0,0
 36-46,0,0,0.58,0,0,3.76,0,0,7.72,0,0,0,1.78,0,0,0,0,96.64,0,0,26.58,24.3,0,0,0,0,0,0,0,0,0.67,0,4.43,0,0,0,0
 48-58,0,0,0.5,0,0,4.21,0,7.28,17.26,3.71,0,0,0,0,0,0,0,172.71,0,5.42,25.24,38.63,0,1.72,0,0,0,0.43,0,0,0,0,3.04,0,0,0,0
 60-70,0,0,0,0,0,26.35,0,0,18.03,3.94,0,0,0,0,0,0,0,273.1,0,1.49,10.76,33.41,0,0,1.16,0,0.66,0,0,0,0,0,0,12.26,0,0.73,0
 72-82,0,0,0,0,0,34.24,0,5.41,8.21,11.7,0,0.87,0,0,0,0,0,512.84,0,6.63,24.56,53.63,0,0,0.5,0,0,0.54,0,0,0,0,1.02,5.05,1.47,7.95,9.12
 84-94,0,0,1.1,0,0,23.09,0,0,7.35,3.41,0,2.88,0,1.74,0,0,4.64,452.56,0,1.31,17.43,14.43,0,0,4.38,0,0,0,0,0,0.91,0,8.43,7.86,3.15,13.74,0
 96-106,1.12,0,0,0,0,7.35,0,0.59,18.07,2.94,0,0.61,0.63,0,0.67,0,0,492.07,0,5.27,31.06,23.16,0,0,1.99,0,9.27,3.77,0,0,0.89,0,0,7.41,0,14.22,0
108-118,0,0,0.9,0,0.78,16.92,0.45,0,2.87,7.38,0,1.04,0.54,0.73,0,2.52,1.53,435.91,0,11.95,18.18,38.02,0,0,4.53,0,10.9,0,1.18,0,2.41,0,0,8.75,0.45,8.43,0
120,0,0,1.28,0,0,5.88,0,0,9.6,17.31,0,0,0,0,0,0,0,329.96,1.56,27.97,15.71,29.59,0,0,0,0,7.89,0,0,0,0,0,10.47,11.79,0,1.43,0
