stage,endocrine.pancreas,epidermis,eye,glial,mesenchyme,mucous,mural.cell,neural,pericytes,presomitic.mesoderm,spinal.cord,taste,xanthophores
 14-21,0,0,0.9,0,0,0,0,7.97,0,1.26,5.94,0,0
 24-34,0,0,2.47,0,0,0,0,55.56,0,0,36.86,0,0
 36-46,0,0,8.48,0,0,0,0,55.42,0,0,46.67,0,0
 48-58,0,0,27.63,0.5,0.38,0,0,141.29,0,0,29.72,0,0
 60-70,0,2.5,66.98,2.5,0,0,0,96.81,0,0,43.09,0,1.44
 72-82,0,0,123.9,11.91,1,0.55,0,197.45,0,0,53.76,0,0
 84-94,1.16,0,63.92,0.68,1.2,0,0,109.2,0,0,28.87,0,0
 96-106,0,11.09,28.48,2.71,0,0,0,102.57,4.62,0,21.25,4.84,0
108-118,0,0.58,41.07,1.63,0,0,2.34,86.6,0,0,7.6,0,0
120,0,0,29.27,0,5.47,0,0,130.19,0,0,1.53,0,0
