stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,24.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0
  7-9,0,0,0,0,0,0,0,3.83,0,0,0,0,0,16.61,6.2,0,0,5.83,0,0,0
 10-12,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,5.8,0,0,10.88,0,0,0
 14-21,0,0,0,0,0,3.8,0,0,0,0,0,0,0,7.11,0,0,0,0.86,0,0.89,14.47
 24-34,0,0.66,0,0,0,7.64,0,0,2.11,0,0,0,0,13.82,0,0,0,0,5.75,1.06,6.14
 36-46,0,1.17,0,2.05,0,2.38,0,0,0,0,9.36,0,0,11.53,0,0,0,0,6.97,0,0.87
 48-58,0,1.57,0,12.86,1.45,1.15,0,0,0,5.52,0,3.75,0,24.37,4.33,1.07,0,0,1.99,1.07,3.5
 60-70,0,12.58,0,18.91,1.61,1.46,1.02,0,0,0,0,0,2.68,5.84,0,0.98,0,0,2.91,0,6.61
 72-82,0,0,0.57,12.04,0,0.95,0.73,0,0,0,0,0.61,0,20.64,0,0,0,0,0,0,0
 84-94,0,0,0,6.58,0,2.11,0,0,0.56,0.65,0,0,0,7.57,0,4.87,2.77,0,0.91,0,0
 96-106,0,0,0,1.37,0,0,0.71,0,0,0,0,2.22,0,3.19,0,0,0.84,0,0,0,0
108-118,0,1.77,0,1.97,0,1.6,0,0,0,0,0,0,0,9.62,0,0.43,1.69,0,1.51,0,0
120,0,1.68,0,0,0,0,0,0,0,0,0,0,0,20.66,1.8,3.86,0,0,0,4.05,0
