stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,106.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.34,27.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,13.34,0,0,7.85,0,0,0,9.24,0,0,0,0,0,0,0,20.31,0,0,0,11.21,0,0,3.47,0,0,0,0,0
 10-12,0,9.4,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,43.63,0,0,0,9,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,0.83,0,0,0,0,0,0,0,0,0,0.87,0,0,0,13.4,0,0,0,0,0,0,0,0,0,4.56,0,0
 24-34,0,0,0,0,2.75,0,6.34,0,3.88,0,0,0,0.61,1.37,5.39,0,0,3.76,150.27,5.32,0.6,0,0,0,2,0,0,0.66,37.68,0,0
 36-46,0,0,0,0,0,0,7.91,0,2.72,0,0,0,0,1.46,3.63,0,0,4.1,187.07,0,0,0,0,0,0.9,0,0,0,36.55,0,0
 48-58,0,0,0,0,1.85,0,24.71,3.55,3.06,0,0,0,0,0,3.61,0,0,0,268.72,0,1.25,0.97,0,0,0,0,0,0,36.64,0,0
 60-70,0,0,0,0,0,0,62.59,0,5.85,0,0,0,0,0,8.54,0,0.76,11.43,523.57,0,0.67,0,0,0,0,0,0,0,41.38,0,0
 72-82,0,0,0,0,2.89,0,44.46,0,3.3,0,0,0,0,0,4.61,0.71,0,1.73,498.55,0,0,0,0,0,0,0,0,0,20.85,3.83,0
 84-94,0,0,0,0,3.55,0,43.62,0,2.83,0,0,0,0,0,12.15,0,0,0,371.64,0,3,0,0,2.48,0,0,0,0,35.33,0,0
 96-106,0,0,0,0,0,0,54.58,0,6.07,0,0,1.83,0,0,2.79,0,0,0,252.03,0,5.85,0.73,0,0,0,0,0.62,0,17.49,0.78,1.09
108-118,0,0,0,0,2.99,0.97,35.77,0,5.01,2.81,0,0,0,0,9.97,0,0,0,388.84,0,0,0,0,0,0,0,0,0,5.6,0,2.03
120,0,0,3.73,0,0,0,86.6,0,10.33,0,0,0,0,0,5.23,0,0,0,1053.63,0,2.15,0,0,0,0,0,0,0,18.29,0,8.35
