stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.65,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,165.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,0,0,0,0,0,0,0,0
  7-9,17.18,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43,0,0,0,8.55,0,5.27,0,0,9.82,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26,10.83,0,0,10.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.66,12.72,0,0,0,0,0,0,0,0,0.85,0.81,0,0,0,2.2,0,0,2.56,28.12,26.96,0,0,0.89,0,0,0,0.88,0,8.49,0,0,16.54,0
 24-34,0,0,0,13.56,2.73,0,14.48,0.92,0,1.86,1.33,2.59,0,25.5,12.6,0,0,0,32.37,0,0,5.07,235.29,13.29,0,0,0,0,10.16,0,0,0,33.82,0,0,88.64,0
 36-46,0,0,0.78,11.1,4.62,0,36.57,0,3.95,34.3,4.76,0,2.5,25.16,22.73,0,1,1.26,99.45,0,2.04,4.37,254.37,16.14,0,0.6,0,0,0,0.81,0,0,65.64,0,1.37,79.27,0
 48-58,0,0,0.45,12.87,8.15,0,57.34,1.06,2.04,117.71,1.16,7.55,3.91,45.73,9.76,0,2.26,3.11,133.49,0,3.05,10.93,169.49,2.02,0.5,0.62,0,0,0.53,0,0,0,64.74,0,1.21,30.74,0
 60-70,0,0,0,24.27,8.03,0,51.95,0,4.42,169.9,10.61,0,7.47,83.73,6.19,0,3.57,1.33,230.22,1.53,8.9,10.19,108.92,0,1.42,1.6,0,0,2.47,0,0,1.12,34.91,1.37,5.87,61.31,1.59
 72-82,0,0,0,34.39,116.03,1.04,31.21,6.04,4.82,156.42,8.22,1.24,4.29,107.32,7.74,0,14.47,1.6,374.5,0.62,21.61,14.31,94.37,0,2.21,2.93,0,15.76,0.53,0,0,0,9.65,6.49,9.33,96.15,7.4
 84-94,0,0,0,63.69,211.51,0.59,66.72,14.35,5.72,127.7,16.12,3.66,3.25,168.56,24.88,0.55,10,0.68,292.01,0,33.06,11.41,102.77,0.66,2.04,3.45,0,3.03,3.76,0,0,0,7.1,14.1,14.49,99.71,12.93
 96-106,0,0,0,87.54,143.31,0.59,34.88,2.95,4.11,96.48,25.72,0,10.88,184.94,16.03,0.95,14.77,0,308.01,3.47,10.52,10.64,105.73,2.38,7.67,1.46,0,9.1,10.66,0,0,1.71,5.26,8.38,15.35,108.13,9.12
108-118,0.5,0,0,104.43,172.51,18.42,53.31,7.06,2.44,119.59,39.9,0,6.48,181.09,32.06,0,10.61,2.74,381.31,2.74,23.37,9.58,126.63,1.37,4.19,4.22,0,12.32,1.8,0,0,0,10.64,28.72,12.87,92.35,7.59
120,0,0,0,90.72,157.68,2.66,68.91,2.75,0,148.98,10.12,0,3.96,237.09,39.57,0,8.31,0,317.4,1.13,30.17,19.43,101.36,4.29,1.46,3.1,0,49.42,1.68,0,0,0,10.59,9.06,5.48,110.26,20.3
