stage,blastomeres,epidermis,eye,glial,heart,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,21.23,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.43,0,10.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.83,0,0,4.77,1.21,1.16,0
 24-34,0,0,0,0,0,0,2.55,0.63,1.42,0,0,0.87,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,4.01,0,0,0.77,0,0,0
 60-70,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0
 72-82,0,0.98,1.88,0,0,0,1.1,1.12,0.98,1.26,0,3.96,0,1.76,0
 84-94,0,0,0,0,0,0.74,2.52,0,1.21,0,0,12.43,0,5.23,2.03
 96-106,0,0,0,0,1.98,0,0,0,0.96,0,0,23.66,0,0,0.93
108-118,0,0,1.46,0.62,0,0,2.09,0,2.47,0,0,2.77,0,0,1
120,0,3.18,0,0,0,0,3.7,0,3.95,0,0,3.82,0,0,14.43
