stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.19,30.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.58,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.43,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,24.85,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,7.37,1.7,0.96,0,0,0,3.45,0,0,1.26,0,0,0,0,3.65,0,1.12,0,0,3.77,50.18,2.6,0,0,0.85,2.44,0,4.91,0,0,7.8,17.43,0,0,0,0,0
 24-34,0,0,3.98,0,74.29,0.98,50.6,0,5.36,3.87,14.45,2.14,6.5,14.7,7.02,10.74,0.63,3.54,8.37,4.27,93.45,0.81,0,32.85,945.22,27.79,8.99,9.85,0,787.99,0,1.5,12.63,8.51,12.75,144.9,0,0,69.9,0,6.39
 36-46,0,0,0.73,0,143.54,7.08,80.84,4.32,8.03,2.19,20.14,0.72,0,6.74,7.38,16,3.64,1.96,10.08,15.24,74,1.01,1.13,14.48,734.62,28.24,13.01,8.55,0,860.01,0.81,5.49,56.16,14.55,2.44,136.84,0,0,35.3,0,17.29
 48-58,0,0,0,0,73.92,2.25,90.87,8.3,15.66,1.48,33.58,14.63,1.19,12.7,4.73,9.06,0,3.52,7.32,3.84,60.95,5.96,8.28,4.76,466.89,37.84,2.19,1.22,0,230.67,0,0,33.42,9.71,0,70.4,0,0,14.25,0,7.23
 60-70,0,0,0,0,132.33,5.07,149.99,4.05,15.6,0.96,77.91,0.69,11.7,3.23,0,0.58,0,0,9.67,4.52,126.23,2.33,2.08,13.79,393.62,16.7,6.98,7.25,0,313.27,0,0,17.18,8.44,0,62.85,0.81,0,98.34,0,23.06
 72-82,0,0,0,0,13.27,5.57,63.01,0,21.65,13.46,19.93,2.74,0,0.6,0,0,0,2.88,0,0,63.78,5.48,1.08,1.38,231.13,2.65,11.64,14.04,0,78.87,0,0,7.39,0,0,14.6,1.68,0,6.26,0,3.06
 84-94,0,0,0,0,8.6,0,42.02,3.76,0.62,12.89,8.34,0,0,0,2.06,1.02,0.61,1.26,0,0,45.43,0,0,4.91,110.01,3.42,0,0.55,0,47.16,0,0,4.57,0,0,11.54,0,0.57,0,2,7.89
 96-106,0,0,0,0,8.32,0,20.12,0,0,0,6.92,0,0,1.39,0.58,0,0,0,0,0,14.65,0.83,0,0.86,29.75,2.08,0,0,0,36.39,0,0,0,0,0,8.29,0,0,2.46,0,0
108-118,0,0,0,0,5.31,2.03,25.48,0,0.55,0,2.03,0,0,0,3.96,0,0,0,0,0,3.18,4.46,0,0,33.09,2.35,0,2.04,0,40.74,0,0,3.3,0.43,0,6.42,0,0,16.98,0,0
120,0,0,0,0,20.28,8.22,13.12,0,12.46,0,22.34,0,0,0,2,0,0,2.13,5.66,0,43.06,2.91,19.96,0,72.33,10.68,2.97,8.49,0,114.52,0,0,1.83,0,0,12.5,0,0,19.53,0,0
