stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0
  5-6,29.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,15.66,0,0,0,0,0,0,0
 14-21,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,4.71,0,0,0,0,0,0,3.45,0,0,0,0,0,0,31.63,0,0,0,0,0,0,0,5.55,0,0,0
 36-46,0,0,0,0,0,0.89,1.35,0,0,0,0,0,0,0,0,0,0,106.23,0,0,13.04,0,0,0,0,7.21,0,0,3.98
 48-58,0,0,0,3.48,0,7,0,0.76,0.5,0,0,0,0,0,0,3.93,0,199.69,0,1,0,0,0,0,0,9.44,0,0,0.98
 60-70,0,0,0,0,0,40.72,0,0,1.84,0,1.5,0,0.71,0,6.76,2.13,0,416.95,0,2.3,0,0,0,1.97,1.58,23.82,0,0,0
 72-82,0,0,0,0.84,0,45.06,0,0,1.78,2.04,0,0,0,0,0,13.2,0.68,555.29,0,0,0,0,4.68,1.53,0,15.07,0,0,3.14
 84-94,0,1.15,0,0.59,1.05,44.63,0,0,2.19,3.55,0,0.73,0,0,0,1.19,0,430.4,0,0,0,0,0,0,0,16.41,0,1.91,1.11
 96-106,0,0,0,5.27,2.85,32.39,0,0,7.29,4.88,0,0.9,0.98,0.75,0,11.16,2.22,370.87,0,0,0,0,0,0,0,13.88,0,3.23,0
108-118,0,0,0,2.97,2.3,35.01,0,0,11.33,3.33,0,0,0,0,0,5.44,0,485.47,0,0,0,0,0,1.24,0,5.07,3.18,0,0
120,0,0,0,10.95,0,39.22,0,0,22.38,0,0,0,2.51,0,0,11.11,0,1032.07,12.42,0,0,0,0,5.15,0,21.33,0,0,8.58
