stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,5.5,1.25,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
 24-34,0,0,0,0,3.77,0,1.39,1.06,0,0,0,0,0,0,0,0,30.94,0,0,75.02,9.11,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,10.14,0,1.53,16.75,1.98,0,0,0,0,0,0,0,204.05,0,0.77,70.55,20.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.37,0,12.42,0,5.35,1.72,1.08,0,0,0,0,2.03,0,6.11,669.76,0,4.5,40.91,18.8,0,0,0.61,0,0,0,0,0,0,3.57,0,1.02,0,0,1.2
 60-70,0,0,5.32,0,7.93,0,0,6.89,0,0,0,0,0,0,6.19,0,1730.85,0,0.76,19.81,11.17,0,0,3.26,0,7.22,0,0,0,0,12.48,0,2.37,0,0,0
 72-82,3.59,0.51,3.84,0,61.65,0.65,0,6.79,3.27,0.67,0,0,0,1.13,0,0,2245.53,1.37,4.06,30.98,53.95,0,0,6.94,0,10.08,10.69,0,0,0,5.68,0,12.23,6.36,0,4.56
 84-94,0,0,3.12,0,140.59,1.34,1.82,3.72,6.03,0,0,0,0,2.18,0,0,2045.76,0,4.11,17.87,39.22,1.43,0,0,0,0,2.41,0,0.61,0,5.23,0,6.64,4.67,3.28,0
 96-106,0,0,12.21,2.99,90.32,0,0,7.51,4,7.83,0,0,1.03,6.29,0.6,0,2554.75,0,12.87,6.12,150.3,0,0,0.89,0,17.24,1.97,1.11,0,0,0,0,6.54,0.57,5.52,0
108-118,0,2.83,9.55,4.55,47.79,0.58,0.66,5.53,4.72,0.47,0.43,2.71,0,0,0,0,2722.69,0,6.39,29.8,116.76,0.59,0.49,0,0,18.3,2.32,0,0,0,1.4,0.58,7.3,5.04,0,0
120,0,2.55,20.14,0,35.6,0,1.87,2.59,0,1.34,0,0,0,1.12,11.63,0,2315.49,0,28.78,15.24,63.87,0,0,0,0,10.15,1.11,12.14,0,0,0,0,31.02,0,0,0
