stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,0,0,16.25,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,6.9,4.43,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.07,0,0,0
 24-34,0,0,0,0,0,0.86,0.61,0.64,0,0,0,0,0.64,11.27,0,0,0,0,0,1.47,0
 36-46,0,0,0,0,5.5,0,0,0,0,0,1.25,0,0,11.75,0,0,0,0,0,4.24,0
 48-58,0,0,0,0,9.32,0,0,0,0,0,0.39,0,0.39,9.51,0,0,0,0,0,5.15,0
 60-70,0,0,0,0,6.65,0,0.67,0,0,1.32,0,0,0,10.1,0,0,0,0,0,2.75,0
 72-82,0,0,0,0.52,2.9,0.59,3.75,0,0,0,1.74,0,0,9.2,0,0,0,0,0,9.13,3.38
 84-94,0,0,0,0.71,5.46,6.46,3.91,0.57,0,0,0,0,0,8.98,0,0,0,0,0.67,0,0
 96-106,0,0,0.59,1.56,0,0,0.86,0,0,0,0.76,2.17,0,3.05,0,1.43,0,0,0,0,0
108-118,0,0,0,0,1.62,0.87,1.46,0,0,0,6.54,0,0,21.86,2.11,0,0,0,0,0,0
120,0,0,0,0,0,0,7.45,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0
