stage,epidermis,eye,fast_muscle,fin_epithelia,glial,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,1.95,0,0,0,0,0,0,0,3.09,0,0,0,0,0,1.71,4.38,0,0,0
 24-34,4.01,0.64,0,0,0,0,0.78,0,0.81,6.04,0,0,0,0,0,3.28,9.96,0,0
 36-46,11.23,0.77,2.54,0,0,0,0.96,0,0,8.63,0,0,0,10.17,0,0,3.91,0,0
 48-58,0,3.86,1.65,0,0,0,6.54,0,0,25.96,0,0,0,0,0,0,1.87,0,0
 60-70,2.24,8.44,5.05,0,0,0,0.6,0,0,10.75,0.93,0,0,0,2.37,0,7.14,0,0
 72-82,0,10.26,8.07,0,1.83,0,2.87,1.05,0,11.08,0,0,0.9,1.49,0,0,3.49,0,0
 84-94,0,3.47,0.7,0.74,0,0.58,1.53,0,0,7.61,0.56,0,0,0.66,2.84,0,0,3.53,0
 96-106,3.6,7.03,0.56,0,0,0,5.65,0,0,18.99,0,0.79,0,1.77,1.2,0,0,0,0
108-118,1.51,1.71,2.29,0,3.26,0,3.9,0,4.23,21.22,0,0,0,1.97,3.59,0,0,1.09,7.58
120,0,0,8.79,2.96,0,0,2.39,0,0,16.73,0,0,0,0,0,0,0,0,0
