stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.25,160.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,202.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,5.34,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.52,0,0,0,20.73,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.55,0,8.22,0,0,0,12.96,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,335.57,0,0,0,26.67,0,0,0,0,13.63,0,0,0,0,0,0,0
 14-21,0,0,0,11.45,63.62,2.26,0,4.98,0,0,1.09,10.8,0,0,0,3.01,0,0,0,20.94,0,0,2.08,140.98,2.46,1.51,5.07,1.09,0,25.1,0,2.97,5.08,0.93,61.43,0,0,4.56,0,0
 24-34,0,0,0,4.7,36.73,0,0,11.56,4.96,0,4.26,4.25,0,0.67,23.89,17.58,0,10.32,3.63,16.57,10.48,0,12.99,237.72,1.45,8.98,12.72,0,0,90.28,0,0,11.76,0.68,67.62,0,0,0,0,0
 36-46,0,0,0,0,29.09,1.78,0,11.69,22.5,0.96,12.3,1.39,0,2.73,17.44,10,0,6.06,0.56,32.18,2.31,1.67,9.64,179,2.53,12.98,6.82,0,0,161.08,0.81,0,15.69,0,70.1,0,0,8.93,0,0.72
 48-58,0,0,0,0,18.63,0,0,15.81,1.35,1.57,19.88,0,2,3.17,12.25,0.94,0,3.75,0.37,19.98,5.83,0.83,4.68,125.52,0,5.89,5.95,0,0,58.4,0,0,12.79,0,27.29,0,0,0.51,0,6.36
 60-70,0.81,0,0,0,17.35,0,0,25.32,13.28,1.64,29.74,3.4,4.57,1.58,35.75,0.9,0,14.9,1.06,16.5,3.37,2.58,2.54,85.51,0,2.06,15,0,0,61.05,0,0,0,0,18.98,0,0,0,0,0
 72-82,0,0,1.66,0,27.45,6.35,0,27.62,5.79,1.26,28.22,3.97,1.11,1.5,19.25,3.88,1.84,13.45,0,50.87,9.09,2.29,5.59,72.32,0,12.69,19.21,0,0.83,55.4,0,0,1.49,0,1.8,14.31,0,1.78,2.06,0
 84-94,0,0,9.99,0,60.74,1.35,0,20.65,12.4,0.6,35.32,27.98,1.23,2.1,56.08,15.82,0,10.11,4.71,59.35,7.36,4.03,5.56,84.17,0,10.54,6.35,0,8.38,153.88,0,0,2.89,0,7.17,5.22,0,11.98,1.54,0
 96-106,0,0,5.05,0,48.37,13.9,0,5.56,3.95,1.05,38.74,16.11,1.32,0.79,30.73,6.92,2,10.73,17.79,33.6,5.92,8.44,6.09,61.66,0,10.04,9.17,0,0,130.24,0,0,2.64,0,8.34,7.73,0,5.01,0,0
108-118,0,0,0.91,0.63,70.93,3.53,0.7,4.78,12.48,1.27,63.12,18.12,0,4.24,35.67,16.87,0,19.22,4.59,37.2,5.72,8.88,3.85,75.49,0,3.03,16.4,0,0,105.41,0,0,2.16,0,1.5,9.72,2.02,4.95,1.79,0
120,1.12,0,3.99,1.28,44.49,0,0,14.75,6.48,2.89,22.81,4.89,0,0,55.46,19.43,2.63,8.52,0,44.15,3.25,23.54,0,94.79,0,7.77,23.76,0,0,52.03,0,0,7.43,0,4.57,3.26,10.67,1.32,3.7,0
