stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,26.76,0,0,0,0,0,0,0,0,0,0,0,89.53,0,0,0,0,0,0,0,0,0,4.05,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.7,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,187.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,2.32,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,19.24,462.35,0,0,0,2.34,0,1.73,0,1.04,0,0,0,0,0
 24-34,0,0,0,0.67,5.62,0,1.27,0,0,3,6.84,0,0,0,50.69,1.46,0,0,2.77,0.63,0,0,12.84,81.95,0,0,0,0.83,0,55.66,0,8.67,0,0,2.06,0,0
 36-46,0,0,0,0,1.33,0,2.14,0.78,0,4.09,0,2.06,0,0,131.51,3.66,0,1.34,0.62,0.97,0,4.23,8.19,19.82,0,0,0,0.58,0,92.29,7.34,3.1,0,0,4.28,0,0
 48-58,0,0,0,0.82,0.84,0,4.46,0,0,0.37,0,2.06,0,0,147.74,12.82,0,0,1.91,3.74,0,1.46,13.58,1.48,0,0,0,6.78,0,87.64,4.32,6.59,0,0,8.26,0,0
 60-70,0,0,0,0,1.52,0,4.32,1.54,0.84,3.37,4.33,22.91,0,0,52.58,15.54,3.49,4.39,3.2,0,0,0,14.92,1.57,0,3.21,0,2.32,0,148.04,8.07,0.79,0,1.27,5.39,0,0
 72-82,0,2.98,0,2.66,1.18,0,36.94,2.9,1.14,0.91,2.88,72.45,0,1.95,66.67,3.17,0,5.4,7.71,0,0,0.57,29.53,0,0.5,3.59,2.35,3.04,0,247.8,9.14,14.06,0.97,1.08,5.1,0,0
 84-94,0,0.73,0,6.23,1.01,0,42.25,19.56,0,0,0,162.99,0,3.34,44.64,3.16,0,41.56,19.56,0.55,2.04,0.77,43.42,0,0,0,7.92,3.73,0,694.47,34.8,6.8,0,11.55,3.07,4.43,0
 96-106,0,12.76,2.06,8.22,16.42,1.5,40.9,44.26,0,2.84,3.45,317.95,0,26.08,58.48,4.79,0.95,68.47,20.37,0.68,0,10.16,89.58,0.7,0,0.9,0,23.65,1.35,658.99,28.31,4.8,0,1.86,10.73,13.23,1.89
108-118,0,11.99,2.79,7.03,3.14,4.41,54.87,73.87,1.74,0,10.48,574.86,0,35.61,41.33,0.53,1.16,130.83,19.84,5.57,0,6.59,96.6,0,0,5.01,0,3.22,0,723.68,52.83,4.78,0.48,4.14,12.65,6.11,0
120,0,7.45,0,24.37,21.06,0,26.07,68.07,0,0,16.74,617.97,0,22.81,53.95,17.01,0,210.71,39.81,0,0,5.28,124.01,1.39,13.79,0,0,5.45,0,601.26,0,7.63,0,0,2.46,9.68,0
