stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,69.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0
  5-6,82.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.66,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.39,0,0,0,59.01,0,0,7.87,0,0,0,0,0,0,0,0,0
 10-12,4.1,0,0,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.92,24.12,0,0,46.23,0,0,11.88,0,27.32,0,0,0,0,0,0,0
 14-21,0,0,5.03,16.14,2.81,0,13.41,0,0,0,1.31,0,0.85,0,0,0,0,0,0.99,21.39,0,0,22.67,78.47,0,0,0,4.55,0,10.47,1.12,10.97,1.99,7.59,26.6,0,0,1.07,0,0.95
 24-34,0,0,0.6,11.23,1.48,0,34.85,0,0,1.21,4.73,0,0.81,0,0,0,0.82,2.01,1.28,59.25,0,0,24.72,132.63,0,0.78,1.82,0,0,9.4,0,0,2.45,3.44,17.87,0,0,25.96,0,29.08
 36-46,0,0,0,12.64,0,0,27.21,0,0.62,0.82,5.52,0,0,0,0.93,0.61,0.99,1.08,0,55.39,1.33,0.68,9.89,122.79,1,2.96,2.03,0,0,5.66,0,0,0.58,0,15.88,0,0,10.44,0,72.26
 48-58,0,0,0,3.06,0,0,26.3,0,0.89,5.57,8.38,0.47,7.95,0.92,0,2.13,1.17,2.15,0,98.45,0.74,0,11.8,50.82,0,2.25,2.07,0,0,5.14,0,0,1.52,0,8.1,0,0.84,17.43,0.78,77.1
 60-70,0,0,0,11.1,0,0,32.24,0,11.62,4.37,6.7,0.62,8.22,0,4,2.66,1.96,0,0,174.07,0,10.27,14.06,100.75,0,2.71,2.36,0,5.53,6.01,0,0,0,0,13.8,0,3.28,20.44,0.64,38.02
 72-82,0,0.61,0,33.93,0,0,39.28,0,7.77,4.21,16.24,0,14.25,0.68,0,9.96,3.86,0,0,361.23,0,5.21,15.62,56.97,0,0.49,4.63,0,4.75,3.88,0,0,0.49,0,1.38,0,7.71,24,6.46,90.13
 84-94,0,1.2,0,30.29,0,0,33.15,0,2.41,7,8.35,3.47,1.72,3.81,0.55,10.38,4.12,0,0,312.94,0,6.62,18.45,40.18,0,0,13.66,0,2.81,16.83,0,0,0,0,3.51,0,7.72,31.62,5.03,68.1
 96-106,0,0,0,26.06,0,0,36.12,0,0.63,8.71,9.28,5.5,2.46,5.08,0.74,6.29,2.59,0,0,302.89,1.89,12.6,17.31,37.52,0,3.46,8.1,0,11.59,8.18,0,0,0.71,0,0.94,0.66,12.65,20.9,6.72,50.12
108-118,0,3.31,1.17,56.77,0,0.99,56.74,0,16.48,3.24,17.14,3.88,1.01,6.8,4.43,26.5,10.58,0,0,349.73,1.69,10.17,21.05,82.41,0,3.87,9.46,0,3.79,7.38,0.48,0,0.72,0,0,0.5,6.02,30.36,3.44,35.77
120,0,0,1.66,117.28,1.38,0,74.4,6.5,2.23,9.59,23.01,8.06,3.83,13.44,0,30.29,8.55,9.58,0,461.69,0,11.78,23.96,89.96,6.22,0,9.82,0,13.5,5.86,0,0,0,0,2.39,5.48,12.85,86.76,0,2.78
