stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
  5-6,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,0,0
 10-12,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0,40.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,1.13,0,1.52,8.25,0,0,0,0,6.4,1.92,0,0
 24-34,0,0,0,0,0,7.07,0,0,0,0,0,0.59,0,0,0,1.65,0,0.78,15.88,0.67,2.91,0,0,0,3.84,0,2.39
 36-46,0,0,3.03,0,0,6.78,0,0,0,0,2.9,0,0,0,0,0,0,0.71,35.3,1.63,0,0,0,0,2.13,0,2.3
 48-58,0,0,0,0,0,74.63,0,0,11.12,0,1.42,0,0.77,0,0,1.02,0,0,51.23,0.97,1.28,0,1.53,0,3.57,0,0.45
 60-70,0,0,0.71,0,0,89.56,1.83,0,34.1,0,0.76,0,0.7,1.39,0,0.89,0,0,79.03,0.89,2.05,0,5.79,0,8.86,1.62,0
 72-82,0,0,2.62,0,0,80.24,0,0,91.91,0.72,2.2,0,8.61,1.94,0,0,0,0,104.15,0.53,16.92,0,7.92,0,15.8,1.78,0
 84-94,0,1.43,5.07,0,0,33.6,0.58,0,63.21,0.62,4.46,0,0,4.75,0,0.56,0,1.19,78.71,0,16.84,0,3.65,0,8.19,1.14,1.2
 96-106,0,1.28,0.6,0.8,0,49.92,0,1.02,90.78,3.4,2.5,0,0,0,0.7,0,1.09,0,81.91,1.62,12.09,0,10.9,0,2.47,5.77,0
108-118,0,2.99,1.57,1.51,6.59,50.38,0,0,78.2,0.7,3.71,0.51,0.58,1.55,0,0.5,0,0,66.09,4.63,11.02,0,2.22,0,1.33,2.19,3.05
120,0,0,1.07,0,0,12.36,0,0,34.57,0,11.42,0,0,0,0,0,0,0,82.7,3.06,10.27,0,0,0,2.72,0,1.46
