stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,0,64.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,86.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,21.43,0,0,0,0,104.12,8.05,8.41,0,0,0
 10-12,0,0,15.07,0,10.17,13.52,0,150.23,0,18.97,5.07,6.56,0
 14-21,0,0,0,1.03,0,0,0,0,1.21,0.86,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.87
 48-58,0,0,0,0,0.76,0,0,1.92,0,0,0,0,3.63
 60-70,0,0,0,0,0,0,3.62,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.5,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,9.07,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.71,0,0,0,0,0,0
