stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.45,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,2.31,0,2.25,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0
 24-34,0,0,0,7.56,0,0,0,0.78,0,0.6,0,0,0,0.6,0,6.23,7.87,15.72,0.7,3.12,0.68,0,0,0,0,0,3.63,9.12,0,0,0,0,0
 36-46,0,0,0,0.72,0,1.52,7.05,0,1.9,0,0,0,0,0,0,13.67,1.24,5.95,0,0,0,0,0,0.59,0,0,0,10.22,0,0,0,0,3.36
 48-58,0,0,0,15.22,0,13.1,10.03,1.59,0,1.54,0,0,0,1.62,1.78,11.94,6.21,26.75,0,0,0,0,0,0.86,0,8.42,0,4.96,0,0,0,0,15.22
 60-70,0,0,0,3.18,0,12.53,1,0.67,0,7.52,0,2,0,0,0,8.5,6.5,72.82,0,0,9.86,0,0,9.99,0,0,0,12.72,0,0,0,0,23.1
 72-82,0,0,0.78,4.32,1.82,34.35,0,0,0.71,5.48,3.18,0,0,0.88,0,12.07,0.77,25.47,0,1.19,0.49,0,1.61,0,0,0,0,1.64,0.97,0,4.81,0.5,19.37
 84-94,0,0,4.87,0.6,0.57,56.18,6.71,0,0.74,2.69,4.48,0.99,0,0,0,8.66,0,20.85,0.71,0.76,0.71,0,0,0.58,0,0,0,1.88,0,0,2.29,0,10.18
 96-106,0,0,0,0,0,73.13,0.59,0,0,5.4,4.22,1.32,0.92,0,0,7.7,1.72,47.42,0,0,2.88,0,0,0,0,0,0,0,0,1.08,0,0,10.7
108-118,0,0,0.71,1.51,0.49,48.45,0,0,0,8.53,1.24,0,0,0,0,19.21,0,25.17,0,1.77,7.71,0,0,0,0,0,0,6.25,0.71,2.7,0,0,19.54
120,0,0,0,15.1,0,59.97,0,0,0,28.31,8.48,0,0,0,0,21.22,5.9,10.43,0,0,0,0,0,0,0,0,0,0,0,0,1.36,3.77,7.16
