stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.37,132.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.85,433.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.75,0,0,0,24.35,0,6.15,0,0,0,0,0,0,0,0,0
  7-9,0,4.71,4.11,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,68.51,0,0,0,50.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.78,0,0,0,8.43,0,0,0,5.27,0,0,0,0,0,0,0
 14-21,0,0,1.1,16.57,68.54,19.57,0,0,1.54,0,44.36,0,0,0,0,0,12.98,0,10.92,103.57,0,0,0.83,2.58,0,1.66,1.19,0.86,0,0.87,24.75,0,0,0,0
 24-34,0,0,0,0,0.66,1.12,0,0,0,1.24,162.1,0,0,0,0,0,5.9,0.69,0,38.36,0,0,0,0,0,0.93,0,0.66,0,0,4.6,0,9.21,0,0
 36-46,0,0,0,0,9.95,0.96,0,0,0.76,0,218.29,0,0,0,0,0,3.85,0,0,29.47,0,0,0,0,0,0,0,0,0,0,10.6,0,7.58,0,0
 48-58,0,0,0,0.62,0,11.2,0,0.5,1.17,0,183.17,0,0,0,0,0,3.02,0,1.38,31.15,0,0,0,0,0,0,0,0,0,0,5.33,0,3.61,0,0
 60-70,0,0,0,0.79,0,29.27,0,0,8.36,0,182.22,0,0,0,0,0,8.67,1.94,0,10.5,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0
 72-82,0,0,0,2.48,0,34.8,1.65,0,2.95,0,189.04,0.53,0,0.65,0,0,7.53,1.45,3.3,34.55,0,0.58,0,0,0,1.3,0,0,0,0,2.42,0.91,1.77,0,0
 84-94,0,0,1,0,0,25.47,0,0,6.02,0,270.09,1.2,0,0,0,0,6.25,0,0.57,17.47,0,0,0,0,7.18,0,0,0,0,0,3.16,0,1.76,0,0
 96-106,0,0,0,14.06,0,30.59,0,0,4.45,0,289.09,0,0,4.05,21.24,0.67,18.08,8.48,0,31.95,0.75,1.81,1.38,0,4.36,7.68,0,0,0.64,0,0,0,3.73,13.6,0
108-118,0,0,0,1.29,0,30.89,0,0.54,11.21,0,176.63,0,0.84,0,0,0,30.52,0.76,2.89,35.46,0,3.48,0,0,0,4.59,0,0,0,0,4.48,0,0.53,3.34,1.28
120,0,0,0,0,14.81,50.37,0,0,37.47,2.63,433.83,0,0,0,0,0,17.58,2.47,0,28.27,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0
