stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.07,32.46,299.3,88.57,0,205.53,0,0.95,0,62.81,10.57,1.23,0,1.15,16.5,0,0,0,5.38,184.92,0,0,153.16,2429.43,62.75,5.61,30.48,92.51,0,15.93,292.66,7.67,12.01,402.33,856.21,0,0,12.1,0,0
 24-34,0,4.02,14.33,165.74,9.85,0,790.93,3.15,6.46,8.12,114.99,4.42,0,28.13,10.89,11.05,9.27,9.37,14.25,7.3,590.45,5.07,7.19,171.98,7718.14,17.81,50.52,45.15,0,0.99,61.56,0.85,5.26,12.22,78.83,1553.64,0,0,67.27,0,17.91
 36-46,0,0,0.96,91.85,12.59,0,1312.28,12.75,11.78,18.83,256.6,13.25,0,15.78,7.92,3.4,4.33,9.38,18.5,11.97,417.07,2.23,20.19,119.37,7173.25,17.11,73.45,36.5,0,0,78.79,0,6.68,44.41,1.34,1289.48,0,0.85,55.62,0.78,16.27
 48-58,0,2.44,1.69,150.78,10.07,0,2813.09,8.89,28.17,32.27,549.75,11.16,9.22,10.4,9.82,9.33,40.54,13.85,16.78,7.25,520.59,3.67,55.36,151.41,7976.86,31.51,40.5,65.37,0,0.95,52.23,0,4.94,11.24,0,1319.42,0,3.52,42.42,0.78,21.38
 60-70,0,1.29,0,114.4,16.89,0,3316.26,7.31,35.07,25.04,561.88,13.87,0.97,10.28,13.31,18.8,43.72,6.12,18.22,20.51,637.06,5.55,80.15,120.06,7651.81,14.71,30.88,70.54,0,7.71,54.6,0,8.83,11.1,0,1026.01,4.61,8.8,60.78,6.97,3.63
 72-82,0,7.15,0,94,41.73,1.04,2105.17,7.45,5.34,33.32,381.88,22.38,0,8.12,19.13,16.87,10.77,10.52,4.83,2.28,655.84,4.14,55.81,111.91,5153.24,4.51,45.03,19.49,0,8.9,64.47,8.75,4.08,7.1,0,480.65,1.63,22.52,85.84,15.42,44.12
 84-94,0,16.91,0,90.4,35.25,4.04,1378.06,2.47,28.1,34.4,342.64,23.63,5.15,11.7,44.4,9.36,17.17,9.22,2.79,19.63,586.37,3.21,53.43,55.56,2647.59,17.23,15.7,31.27,0,5.92,131.74,0,6.41,3.99,0,260.86,14.65,24.19,69.83,35.95,17.08
 96-106,0,9.46,1.03,125.22,54.39,0.6,952.86,16.2,4.1,16.18,265.06,23.2,0,5.68,35.27,18.14,22.57,10.33,17.44,2.64,362.81,4.26,18.92,66.91,1863.47,4.42,48.94,37.31,0,7.88,105.81,0,3.91,1.54,0,133.53,2.67,25.4,78.11,7.1,29.59
108-118,0.5,5.54,1.06,130.87,38.96,9.78,961.01,7.65,21.26,16.68,289.82,29.38,0,9.64,40.68,11.19,18.51,9.45,5.83,9.71,544.81,7.27,28.82,58.78,2838.56,7.34,25.14,54.81,0,32.74,95.52,0,7.59,7.36,0,130.58,4.89,8.64,61.62,22.34,23.65
120,0,11.22,0,242.28,84.28,15.71,1398.03,32.66,28.34,41.78,903.58,36.42,0,5.71,124.45,12.7,68.06,28.53,30.59,7.01,991.79,19.82,32.78,155.71,7557.58,38.4,53.36,117.06,0,41.25,126.28,0,9.2,0,0,313.84,13.86,30.32,175.68,101.25,2.85
