stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1.14,1.37,3.42,0,0,0,0,1.27,0.84
 24-34,0,1.49,0,0,0,0,0,0,0,0,0.62,11.13,0,0.79,0,0,0.69,1.98
 36-46,0,0.72,0,0,0,0,0,0,1.14,0,0,1.62,0,0,9.33,0,0,0
 48-58,0,0.66,0,0.49,1.21,0,0,0,0.88,0.45,0.51,0,0,0,1,0,1.34,0
 60-70,0,2.7,0,0,0,0,1.52,0,0.93,0,0,0,2.08,0,0,0,0,4.29
 72-82,0,1.68,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0
 84-94,0,0,0,0,1.7,0,0,0,0.98,2.52,0,0,0,0,0.64,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0
108-118,0.77,1.4,0.85,0,0,0.48,0,0,0,1.08,0,0,0,0,0.58,0.53,0,0
120,1.8,0,0,0,2.94,0,0,17.76,0,4.8,0,0,0,0,0,0,0,0
